UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0627806960192644,0.000920973774908118,0.0630653659715703,0.0127806860192644,0.00092097377490812,0.0130653559715703,0,0,0,0,0,0
2,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0625288588265358,0.0009649030603371,0.0629082782381802,0.0125288488265358,0.00096490306033709,0.0129082682381801,0,0,0,0,0,0
3,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.061394580357526,0.00340825824534894,0.0629178141442449,0.011394570357526,0.00340825824534894,0.0129178041442449,0,0,0,0,0,0
4,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0626163263235786,0.00147801348287373,0.0633704921175749,0.0126163163235786,0.00147801348287372,0.0133704821175749,0,0,0,0,0,0
5,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0631353192783,0.000912442887720494,0.0633386540134725,0.0131353092783,0.000912442887720494,0.0133386440134725,0,0,0,0,0,0
6,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0628347323041367,0.00113236384520542,0.0632991635443099,0.0128347223041368,0.00113236384520541,0.0132991535443099,0,0,0,0,0,0
7,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0628470851248055,0.00105617265453509,0.0632667190712942,0.0128470751248055,0.00105617265453509,0.0132667090712942,0,0,0,0,0,0
8,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0632806316554676,0.000598388518426055,0.0634507780372251,0.0132806216554676,0.000598388518426056,0.0134507680372251,0,0,0,0,0,0
9,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0629419162276316,0.000885773892116223,0.0632433215650656,0.0129419062276315,0.000885773892116216,0.0132433115650656,0,0,0,0,0,0
10,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0629472263441036,0.000941572649674953,0.0631740591176532,0.0129472163441036,0.000941572649674953,0.0131740491176532,0,0,0,0,0,0
11,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0628109729368626,0.000872272752929927,0.0630500093089872,0.0128109629368626,0.000872272752929927,0.0130499993089872,0,0,0,0,0,0
