UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,37,0.411959590151856,0.258669505901995,0.0150150753594959,0.0104603364914908,0.0185995982293686,0.090721346547113,0.000814056414920862,0.00424205408101398
2,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,37,0.395218318499933,0.244915753499849,0.0156553881603778,0.0133079018242576,0.0158251400463884,0.0705047028113989,0.0007759243794384,0.00401010591650367
3,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,37,0.381800202827551,0.24503830146851,0.0132614100267495,0.0118156469733456,0.0233002983713553,0.109143972485299,0.000776122281989922,0.00401130992475195
4,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,37,0.403960188503367,0.257683765931208,0.0148811085811112,0.0107039196880953,0.0146916468321177,0.0630834735036777,0.000427030357074197,0.00188786646119868
5,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,37,0.39521704041142,0.246511892490611,0.0163812826327682,0.0118695744263855,0.0152726892786679,0.0728036308342597,0.00041486433861563,0.00181386314457327
6,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,37,0.394913074292747,0.251008578750305,0.0166230344076741,0.0137860107202023,0.0157377065047687,0.0729787138259779,0.000697985735930119,0.00353602350967222
7,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,37,0.377810907332451,0.24900489905868,0.014285426613321,0.011801817295545,0.0118314364576519,0.0470141012446035,0.000465263562573227,0.00212042998510185
8,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,37,0.378616883836839,0.234414442144402,0.0154789690869991,0.0125531728167512,0.0217536867298878,0.104914111591291,0.000923057604167949,0.00490508246170117
9,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,37,0.378204646025885,0.227635027263128,0.0154530933719354,0.0126013706977687,0.0166873705728054,0.0760924255231539,0.000386735914994086,0.00164276486551608
10,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,37,0.37434992423629,0.233441221863686,0.0150794853397984,0.0118373996414608,0.0188063839576196,0.0929391057755439,0.000600295633425854,0.00294179790750941
