UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,max_meanOutageDuration_wo_CF,min_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,max_outageProbability_wo_CF,min_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,max_meanOutageDuration,min_meanOutageDuration,mean_outageProbability,std_outageProbability,max_outageProbability,min_outageProbability
1,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,71,0.401383697098739,0.249406544095248,0.849151909506267,0.0509523904761908,0.0142638345175989,0.0105428006335856,0.0368159955621707,0.0009500001666668,0.0117520338375664,0.0654791565282597,0.555430170758532,0.0017073268292734,0.000480095289231152,0.00306230108853309,0.0259200746353981,0.0001166667500001
2,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,71,0.394233590699381,0.240431404936438,0.782684077205795,0.0505405502702735,0.0158788051745034,0.0129608641032073,0.049569991556367,0.0006166667666668,0.0102527468003531,0.0509719898359496,0.432515100692007,0.0016279167441913,0.000460223681303677,0.00289485977136686,0.0245091890392137,0.0001166667
3,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,71,0.397347109768721,0.254175644918396,0.775526442248008,0.0506060703030394,0.0147779686636725,0.01198283271328,0.0417065076320029,0.0002833333666667,0.014183525087347,0.0789494572965582,0.668632164553291,0.0014000098000055,0.000460326810567613,0.002895728932545,0.0245165127002873,0.0001166666833333
4,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,71,0.395197077617833,0.24963625722228,0.777515701294369,0.0507692403846184,0.0152528409264412,0.01127736473048,0.0387291837650394,0.0002000000166667,0.00968644465993479,0.0456306456365281,0.38667034650238,0.0017948815384668,0.000278405668005901,0.00136283399597047,0.0116001103950714,0.0001166666833333
5,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,71,0.400320396374813,0.257482318948972,1.05167316214845,0.0507142953571518,0.0149029122238963,0.0120230402907848,0.0430461401567841,0.0007000001166669,0.0103897068994845,0.052541046472161,0.445998633817456,0.0015909188636419,0.000272065611438276,0.00130941166556199,0.0111499658454364,0.0001166667166667
6,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,71,0.382854589016938,0.245088555552949,0.759370128205656,0.0506666763333391,0.015638595720714,0.012829555187797,0.0514802389629531,0.0003160427822321,0.0102799640454421,0.0527864035299718,0.447423276470479,0.0012727370909146,0.000423206340158814,0.00255237081266593,0.0216254583627398,0.0001166666833333
7,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,71,0.398058423190976,0.246514116624657,0.760534655732183,0.0507407503703737,0.0154958532794638,0.011732138475515,0.0430150328997674,0.0002833333666667,0.00803468693014643,0.0340471155926083,0.289216424041532,0.0017073268292741,0.000298330016176759,0.00153071953377857,0.0130147390818689,0.0001166667
8,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,71,0.370030575819208,0.237856252990269,0.932055387309523,0.0509091004545577,0.0147046425668457,0.0119946220887491,0.0347336510834193,0.0006043382648579,0.01365054863363,0.075822922819322,0.641852546161582,0.0017948815384665,0.000536898726350516,0.00354093537538819,0.0299531188208738,0.0001166666833333
9,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,71,0.39061316474759,0.235568883190161,0.791258637082815,0.0506896648275935,0.0156064627567463,0.0125785149964655,0.0444305940704733,0.0006166667666666,0.0107857564362443,0.0549977138624671,0.466579181758802,0.0015555653333378,0.000257407157344427,0.00118589733592409,0.010109215604774,0.0001166667
10,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,71,0.40589604296624,0.253111371148831,0.819242049908526,0.0506666763333362,0.0175458385777805,0.0137896492732193,0.0474626229710436,0.0007000001166667,0.0113982006601834,0.0671269783496602,0.56876605642365,0.00152174891305,0.000368698872348803,0.00212365772422379,0.0180109251200822,0.0001166667333333
