UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,100,500,193,300,0.02,0,0.05,0,0,0,400000000,10,0.1,48,0.120666062159203,0.15267463391635,0.07,0.00097481456662736,0.00324008863586266,1.94444444444e-05,0.0614506623940987,0.0228614602648027,0.07,1.94444660298917e-05,6.6772575411047e-11,1.94444444444e-05
2,100,500,193,300,0.02,0,0.05,0,0,0,400000000,10,0.1,48,0.103667923743587,0.135032385022424,0.07,0.000806751862944248,0.00282282054917387,1.94444444444e-05,0.0613684648307974,0.0230789085490617,0.07,1.94444726270646e-05,7.87275541767944e-11,1.94444444444e-05
3,100,500,193,300,0.02,0,0.05,0,0,0,400000000,10,0.1,48,0.0819310973282535,0.0847727480484428,0.07,0.000317265540564683,0.00178098755541569,1.94444444444e-05,0.0671158229537255,0.0139785088494973,0.07,1.94444560762604e-05,5.97404294386141e-11,1.94444444444e-05
4,100,500,193,300,0.02,0,0.05,0,0,0,400000000,10,0.1,48,0.0900700410074515,0.100240820261753,0.07,0.000562428717812502,0.00200233830885023,1.94444444444e-05,0.06135975694804,0.0231023268133435,0.07,1.94444759256667e-05,8.79923153296643e-11,1.94444444444e-05
5,100,500,193,300,0.02,0,0.05,0,0,0,400000000,10,0.1,48,0.0696028583708482,0.00262558542247314,0.07,0.000139703663175919,0.000480894543865625,1.94444444444e-05,0.0656653029861392,0.0169658703678907,0.07,1.94444631942583e-05,7.35561727032271e-11,1.94444444444e-05
6,100,500,193,300,0.02,0,0.05,0,0,0,400000000,10,0.1,48,0.089203241989406,0.0979262905722653,0.07,0.000310269932832417,0.00108814470855623,1.94444444444e-05,0.0642779987570869,0.0191801499737141,0.07,1.94444627891875e-05,7.19889305580393e-11,1.94444444444e-05
7,100,500,193,300,0.02,0,0.05,0,0,0,400000000,10,0.1,48,0.106438304176025,0.147756241887708,0.07,0.000635657973473048,0.00213321437027409,1.94444444444e-05,0.0621508409258812,0.021452308789162,0.07,2.11330679376438e-05,9.85758969530981e-06,1.94444444444e-05
8,100,500,193,300,0.02,0,0.05,0,0,0,400000000,10,0.1,48,0.0691365491396007,0.0037849206471506,0.07,0.000104827201203915,0.000391299974424501,1.94444444444e-05,0.0662190290326816,0.0150785801983874,0.07,3.89532790265188e-05,0.000135161122863286,1.94444444444e-05
9,100,500,193,300,0.02,0,0.05,0,0,0,400000000,10,0.1,48,0.076782718302404,0.0527244793241277,0.07,0.00017009688010344,0.000544327048294858,1.94444444444e-05,0.0642779143509754,0.019180761373123,0.07,1.94444615160333e-05,6.35056529003235e-11,1.94444444444e-05
10,100,500,193,300,0.02,0,0.05,0,0,0,400000000,10,0.1,48,0.0767119420734223,0.0527116841058991,0.07,0.000146134459521721,0.000518297981190381,1.94444444444e-05,0.0644183045545874,0.0187270430812927,0.07,1.9444457002175e-05,5.25357125655796e-11,1.94444444444e-05
