UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.175744239,0.20335137,0.07,0.004043451,0.008865025,1.94E-05,0.047957865,0.032468942,0.07,1.97E-05,1.96E-06,1.94E-05
2,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.120581162,0.154204348,0.07,0.001890477,0.005484324,1.94E-05,0.054871809,0.028778056,0.07,2.50E-05,2.73E-05,1.94E-05
3,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.180892552,0.212027626,0.07,0.002837456,0.005311235,1.94E-05,0.047934598,0.032494875,0.07,1.94E-05,1.81E-10,1.94E-05
4,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.152522045,0.182442543,0.07,0.003644696,0.007291164,1.94E-05,0.043627451,0.034029384,0.07,1.94E-05,2.37E-10,1.94E-05
5,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.138463082,0.175450458,0.07,0.002592375,0.005251416,1.94E-05,0.049276134,0.03198264,0.07,2.55E-05,3.59E-05,1.94E-05
6,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.164812386,0.197124493,0.07,0.003445912,0.00663656,1.94E-05,0.047831935,0.032644744,0.07,1.97E-05,1.96E-06,1.94E-05
7,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.181754061,0.214448254,0.07,0.003381251,0.005931396,1.94E-05,0.043811971,0.033799814,0.07,2.06E-05,7.86E-06,1.94E-05
8,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.151984741,0.193200508,0.07,0.002077973,0.004118813,1.94E-05,0.049547969,0.031611807,0.07,2.27E-05,2.10E-05,1.94E-05
9,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.178040324,0.207067242,0.07,0.003310546,0.00596149,1.94E-05,0.047892584,0.032555997,0.07,2.14E-05,1.37E-05,1.94E-05
10,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.13873848,0.172447116,0.07,0.002358689,0.005043713,1.94E-05,0.052062287,0.030572531,0.07,2.39E-05,2.79E-05,1.94E-05
11,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.159268767,0.196284947,0.07,0.003196925,0.005958633,1.94E-05,0.044652048,0.033106048,0.07,8.12E-05,0.000395311,1.94E-05
12,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.150477287,0.187033235,0.07,0.002266719,0.004837973,1.94E-05,0.053443186,0.029764426,0.07,2.11E-05,1.18E-05,1.94E-05
13,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.130177016,0.168591947,0.07,0.002296632,0.005308461,1.94E-05,0.053023829,0.029835077,0.07,9.91E-05,0.000562923,1.94E-05
14,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.162313922,0.201989804,0.07,0.003365479,0.006228013,1.94E-05,0.045056918,0.033596,0.07,2.15E-05,1.26E-05,1.94E-05
15,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.1691602,0.203352776,0.07,0.00373351,0.007408661,1.94E-05,0.04234074,0.034223769,0.07,2.14E-05,1.19E-05,1.94E-05
16,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.141912739,0.168198055,0.07,0.002500295,0.004709352,1.94E-05,0.050315459,0.031264727,0.07,8.88E-05,0.000480573,1.94E-05
17,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.131583566,0.174340962,0.07,0.002262674,0.004897552,1.94E-05,0.051231691,0.030516466,0.07,5.54E-05,0.000171479,1.94E-05
18,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.12960023,0.165350849,0.07,0.002138967,0.004948634,1.94E-05,0.053358004,0.029915712,0.07,2.00E-05,2.75E-06,1.94E-05
19,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.170045585,0.205900294,0.07,0.003218607,0.006271345,1.94E-05,0.048576127,0.031657102,0.07,3.89E-05,9.01E-05,1.94E-05
20,36,500,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.163655704,0.193241649,0.07,0.002573324,0.00468722,1.94E-05,0.04511535,0.033518151,0.07,1.94E-05,1.91E-10,1.94E-05
,,,,,,,,,,,,,,,0.154586404,0.188802424,0.07,0.002856798,0.005757549,1.94E-05,0.048596398,0.031916813,0.07,3.42E-05,9.38E-05,1.94E-05
