UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0862263261229314,0.0880181748440397,0.07,0.000777341539764577,0.00345510473253522,1.94444444444e-05,0.0652050375212576,0.0177199771805848,0.07,1.94444744569644e-05,1.14745017134626e-10,1.94444444444e-05
2,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0756186887670313,0.0555367564941079,0.07,0.000449571603716324,0.00219255127526388,1.94444444444e-05,0.0644167775254066,0.0189844658012851,0.07,1.96041221580575e-05,1.48909739813324e-06,1.94444444444e-05
3,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0761607569822547,0.0574637156274528,0.07,0.000373293141489345,0.00330048092477979,1.94444444444e-05,0.0691997991219137,0.00746377690852617,0.07,1.94444502553414e-05,5.42008528999459e-11,1.94444444444e-05
4,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.075364908885507,0.0531795349117391,0.07,0.000338704290654896,0.00185392944305664,1.94444444444e-05,0.0667296248052121,0.01463776020413,0.07,5.42553610362586e-05,0.000324694439501285,1.94444444444e-05
5,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0801364507035315,0.068727515104635,0.07,0.000341543768723809,0.00190959800569825,1.94444444444e-05,0.0660328368214065,0.0161604361732243,0.07,1.9444462898923e-05,8.21289014936642e-11,1.94444444444e-05
6,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0872947810794917,0.0925596131799768,0.07,0.000653460585042913,0.00345155122132274,1.94444444444e-05,0.0668142245706141,0.0145962629542223,0.07,1.94444598657437e-05,7.52773809002757e-11,1.94444444444e-05
7,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0758226382641139,0.054309954178409,0.07,0.000262219597142624,0.00226445587388785,1.94444444444e-05,0.0692014978500515,0.00744793222727677,0.07,1.94444486270011e-05,3.90127063487687e-11,1.94444444444e-05
8,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0827950813272374,0.0833658948215178,0.07,0.000547136479679804,0.00266958734182432,1.94444444444e-05,0.0660061703575507,0.0162676214422589,0.07,1.94444700508517e-05,1.11173597460795e-10,1.94444444444e-05
9,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0811265973822235,0.073168841690903,0.07,0.000565973523696779,0.00331173974811064,1.94444444444e-05,0.0676014346818365,0.0127656065327531,0.07,1.94444604085299e-05,8.74578206445794e-11,1.94444444444e-05
10,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0802686753197515,0.0700238459301188,0.07,0.000539819493447764,0.00264264704035346,1.94444444444e-05,0.0652058631381921,0.0177169373291499,0.07,1.94444737864517e-05,1.11459933865263e-10,1.94444444444e-05
