UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.090484797,0.100749155,0.07,0.001280195,0.005054309,1.94E-05,0.07384272,0.059969383,0.07,0.000452106,0.002210119,1.94E-05
2,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.07735707,0.061177344,0.07,0.000792652,0.003437117,1.94E-05,0.067099478,0.013962276,0.07,0.000272986,0.001055707,1.94E-05
3,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.069932547,0.00035131,0.07,0.000214061,0.000940871,1.94E-05,0.068975736,0.008077638,0.07,0.000144425,0.000737439,1.94E-05
4,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.090225578,0.096020055,0.07,0.001461979,0.004125695,1.94E-05,0.072119439,0.057534348,0.07,0.000983935,0.003489454,1.94E-05
5,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.09492719,0.102617247,0.07,0.001361783,0.005747058,1.94E-05,0.069887,0.030082899,0.07,0.00034207,0.001473018,1.94E-05
6,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0915451,0.104085034,0.07,0.00115933,0.004938902,1.94E-05,0.071275746,0.036363884,0.07,0.000258925,0.001078989,1.94E-05
7,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.083761177,0.081601628,0.07,0.001162429,0.006135124,1.94E-05,0.074963553,0.05955238,0.07,0.000819242,0.005704824,1.94E-05
8,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.085938709,0.094631409,0.07,0.00062892,0.00289597,1.94E-05,0.073803916,0.04896572,0.07,0.00022267,0.00126346,1.94E-05
9,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.089376407,0.093128591,0.07,0.001474449,0.004991037,1.94E-05,0.071264836,0.050618817,0.07,0.000659417,0.00283134,1.94E-05
10,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.069997345,0.001347596,0.07,0.000453945,0.001495345,1.94E-05,0.068322363,0.009010714,0.07,0.000341573,0.001262011,1.94E-05
