UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.090484796903942,0.10074915479111,0.07,0.00128019494204912,0.00505430944786479,1.94444444444e-05,0.0738427195917393,0.0599693828738387,0.07,0.000452106038394139,0.00221011936742508,1.94444444444e-05
1,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.105887903694124,0.134034757404979,0.07,0.00139190067748684,0.00522879892072168,1.94444444444e-05,0.0808764847816222,0.0850277425168244,0.07,0.000776051707034853,0.00437627175854353,1.94444444444e-05
1,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.08360984768597,0.0830233408175975,0.07,0.000662547073349678,0.00305204048028361,1.94444444444e-05,0.0651714138961069,0.0177995998645644,0.07,1.94444753083861e-05,1.18134505895133e-10,1.94444444444e-05
1,64,500,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0913383602477282,0.103715480621511,0.07,0.000436767522427797,0.00210317630414272,1.94444444444e-05,0.0668119881997973,0.013974114181447,0.07,3.94286549222486e-05,0.000169571591515303,1.94444444444e-05
2,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0773570703179289,0.0611773435357731,0.07,0.000792651633485715,0.00343711737663628,1.94444444444e-05,0.0670994778767274,0.0139622761162081,0.07,0.000272986489741918,0.00105570738756724,1.94444444444e-05
2,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0904548340622427,0.100200100441518,0.07,0.000894932007075189,0.00361655364607697,1.94444444444e-05,0.0820027439017978,0.0793527895278194,0.07,0.000741318668853875,0.00338888602494293,1.94444444444e-05
2,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0769267452707384,0.0610294899868646,0.07,0.000508613006455347,0.00239556317914223,1.94444444444e-05,0.0642185183193912,0.0193099338992036,0.07,1.96373832558486e-05,1.63687851334904e-06,1.94444444444e-05
2,64,500,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0875615918948685,0.0871665494329712,0.07,0.000339272399331428,0.00149391182779978,1.94444444444e-05,0.0705186911994746,0.0244539868636824,0.07,9.07818301062473e-05,0.000460889850353166,1.94444444444e-05
3,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0699325474779467,0.000351310245279675,0.07,0.000214061121012386,0.000940870855187095,1.94444444444e-05,0.0689757356178679,0.00807763827015314,0.07,0.000144424730643553,0.000737439071581865,1.94444444444e-05
3,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0854794911497045,0.0925673407517503,0.07,0.000252924231713378,0.00183564038731824,1.94444444444e-05,0.0761168022228745,0.0607171496366783,0.07,3.70622370114639e-05,0.000149491899902734,1.94444444444e-05
