UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability,,,,
1,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.091162469,0.10417075,0.07,0.001782337,0.00646632,1.94E-05,0.060144522,0.02440778,0.07,1.94E-05,2.43E-10,1.94E-05,,,,
2,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.085533724,0.087783578,0.07,0.001502776,0.006118062,1.94E-05,0.061552095,0.022862448,0.07,1.94E-05,2.20E-10,1.94E-05,,,,
3,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.073226356,0.032287941,0.07,0.000341153,0.001250574,1.94E-05,0.06513745,0.017729136,0.07,1.94E-05,1.76E-10,1.94E-05,,,,
4,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.075326914,0.05160758,0.07,0.000801576,0.002290861,1.94E-05,0.060150741,0.024392426,0.07,1.94E-05,2.34E-10,1.94E-05,,,,
5,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.09894283,0.115812216,0.07,0.001699451,0.007169318,1.94E-05,0.063696863,0.02003537,0.07,1.94E-05,1.77E-10,1.94E-05,,,,
6,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.091096399,0.103783847,0.07,0.001164574,0.004983041,1.94E-05,0.063678348,0.020092698,0.07,1.94E-05,1.73E-10,1.94E-05,,,,
7,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.099324978,0.117321758,0.07,0.001418844,0.005613448,1.94E-05,0.061764961,0.022346903,0.07,1.94E-05,1.79E-10,1.94E-05,,,,
8,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.079956187,0.06904805,0.07,0.000709059,0.002537285,1.94E-05,0.06366909,0.020122058,0.07,1.94E-05,1.95E-10,1.94E-05,,,,
9,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.084962455,0.084756023,0.07,0.001643334,0.006121676,1.94E-05,0.060139353,0.024420572,0.07,1.94E-05,2.73E-10,1.94E-05,,,,
10,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.079720456,0.068670199,0.07,0.001066845,0.004488224,1.94E-05,0.061553831,0.022857787,0.07,1.94E-05,2.26E-10,1.94E-05,,,,
11,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.107720586,0.138206776,0.07,0.002521089,0.007968231,1.94E-05,0.057344657,0.02698286,0.07,1.94E-05,2.36E-10,1.94E-05,,,,
12,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.081341772,0.074282488,0.07,0.000926706,0.003268626,1.94E-05,0.061026177,0.023258225,0.07,1.94E-05,2.20E-10,1.94E-05,,,,
13,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.095595872,0.113655704,0.07,0.001112261,0.004389229,1.94E-05,0.060929362,0.023454758,0.07,1.94E-05,1.95E-10,1.94E-05,,,,
14,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.075770042,0.054835355,0.07,0.000583867,0.002074976,1.94E-05,0.063669537,0.020120639,0.07,1.94E-05,1.97E-10,1.94E-05,,,,
