UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0911624691347874,0.104170749761117,0.07,0.00178233693085967,0.00646632013652033,1.94444444444e-05,0.0601445224706662,0.0244077800030724,0.07,1.94445401788475e-05,2.43041851413398e-10,1.94444444444e-05
1,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0850803411524681,0.0862360961142583,0.07,0.00119118901360603,0.00447208848467532,1.94444444444e-05,0.0723723739745004,0.0516006719616369,0.07,0.000544098536634074,0.00221429539640561,1.94444444444e-05
1,25,750,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,18,0.0698399328867191,0.0012645370490494,0.07,0.000542800405289445,0.00152319384867343,1.94444444444e-05,0.0698399328867191,0.0012645370490494,0.07,0.000542800405289445,0.00152319384867343,1.94444444444e-05
1,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.107812653965982,0.139767490782447,0.07,0.00106246547098231,0.00379399449464513,1.94444444444e-05,0.0637172248343522,0.0199698131468602,0.07,1.94444718852818e-05,9.97014373274208e-11,1.94444444444e-05
1,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,95,0.113188720604228,0.144407495048625,0.07,0.00141458808002229,0.00491642647783374,1.94444444444e-05,0.0829123851945793,0.0895717035398106,0.07,0.00073157027674994,0.00398004935160166,1.94444444444e-05
1,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0807791243430915,0.0778480370424564,0.07,0.000755118690539547,0.00410194648213701,1.94444444444e-05,0.0650818436190491,0.0179206162454681,0.07,1.94444780019444e-05,1.26140641349065e-10,1.94444444444e-05
1,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,89,0.085861689580843,0.0870458262760673,0.07,0.000760310144364123,0.00341748410454455,1.94444444444e-05,0.0653127894870721,0.0175320300538489,0.07,1.94444737825247e-05,1.13521776797276e-10,1.94444444444e-05
1,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0902848549016641,0.100727157540461,0.07,0.000341211336372581,0.0015408628466473,1.94444444444e-05,0.0665350327491083,0.0151007884123999,0.07,1.94444533668949e-05,4.56108811349668e-11,1.94444444444e-05
1,64,500,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,79,0.0894476194662839,0.0991402029457714,0.07,0.000399789528176104,0.00201013131882261,1.94444444444e-05,0.0670944702580431,0.0133634723194767,0.07,3.76579020950975e-05,0.000161884697851465,1.94444444444e-05
2,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0855337240356315,0.087783578435353,0.07,0.00150277569115554,0.00611806169143907,1.94444444444e-05,0.0615520954610433,0.0228624484222623,0.07,1.94445241856707e-05,2.19853340318891e-10,1.94444444444e-05
2,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0798559240426049,0.0692323125752279,0.07,0.000954263327779303,0.00382912013462765,1.94444444444e-05,0.0651968981127235,0.0175063352873598,0.07,0.000213467139839234,0.000908517388178297,1.94444444444e-05
2,25,750,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,18,0.0697012317377902,0.00126756638527146,0.07,0.000282636965883583,0.00111663130000339,1.94444444444e-05,0.0697012317377902,0.00126756638527146,0.07,0.000282636965883583,0.00111663130000339,1.94444444444e-05
2,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0894251334494679,0.0984072255358658,0.07,0.000726984682735137,0.00298610875655201,1.94444444444e-05,0.0623211317787716,0.021832426654676,0.07,1.94444874575657e-05,1.35119327155616e-10,1.94444444444e-05
2,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,95,0.0968762564355386,0.116445039103976,0.07,0.00104891761907655,0.00396154803658905,1.94444444444e-05,0.0896057905202905,0.0998064400725269,0.07,0.000917843504277854,0.00377664369176533,1.94444444444e-05
2,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0805615674950919,0.0778133185888234,0.07,0.000562484640495026,0.00275672967308547,1.94444444444e-05,0.0637016120347566,0.0200194334150965,0.07,1.94444801624374e-05,1.25203016968372e-10,1.94444444444e-05
2,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,89,0.0753529940532292,0.054938270562116,0.07,0.000470244130602113,0.00218134124602368,1.94444444444e-05,0.0637603530264872,0.0199672226496878,0.07,1.96005391694472e-05,1.47227040553945e-06,1.94444444444e-05
2,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0851273123372668,0.0915792426669558,0.07,0.000347257100067677,0.00143103030016751,1.94444444444e-05,0.0651160266563508,0.0177965920871927,0.07,1.94444641131757e-05,7.92748701135419e-11,1.94444444444e-05
2,64,500,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,79,0.0860055014738042,0.083314825822136,0.07,0.000310933213455362,0.00142823377922857,1.94444444444e-05,0.0704727312197743,0.0233313745600633,0.07,8.44607959336785e-05,0.00044019587599627,1.94444444444e-05
3,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0732263558829373,0.0322879408552329,0.07,0.000341153414790365,0.00125057360980863,1.94444444444e-05,0.0651374500816548,0.0177291363469835,0.07,1.94444890287899e-05,1.76453621700379e-10,1.94444444444e-05
3,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0736697567337978,0.0381421838480148,0.07,0.000216491913767466,0.000907587104925964,1.94444444444e-05,0.0685010235788089,0.00939856552225193,0.07,0.000152180163497538,0.000750167540359428,1.94444444444e-05
3,25,750,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,18,0.0700669052880379,0.000283855097212793,0.07,0.000259008343293867,0.00101638354442368,1.94444444444e-05,0.0700669052880379,0.000283855097212793,0.07,0.000259008343293867,0.00101638354442368,1.94444444444e-05
3,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0792624844415786,0.0649069720986558,0.07,0.000309620219741727,0.0015404072603142,1.94444444444e-05,0.0672015142926482,0.0137079195772739,0.07,1.94444624296758e-05,1.05686970880009e-10,1.94444444444e-05
3,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,95,0.0871030176261063,0.0952130108978446,0.07,0.000453088903150634,0.00252190173582767,1.94444444444e-05,0.080007084965772,0.0736035680269724,0.07,0.000289488233481815,0.00197651080172402,1.94444444444e-05
3,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0807527225884896,0.0753122253819708,0.07,0.000311904401527513,0.00267602397736061,1.94444444444e-05,0.0686375881958535,0.00954113097330576,0.07,1.94444491301121e-05,4.2852487826447e-11,1.94444444444e-05
3,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,89,0.0760223130051254,0.0568143872616916,0.07,0.000365341485375975,0.00326318615778269,1.94444444444e-05,0.0692177811641179,0.00737943773885187,0.07,1.94444501247584e-05,5.35883942231601e-11,1.94444444444e-05
3,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0699075745027489,0.000919622086332625,0.07,5.5102339820797e-05,0.000354791579331772,1.94444444444e-05,0.0697814993548793,0.00217405396894824,0.07,4.77479561950738e-05,0.0002816163861792,1.94444444444e-05
3,64,500,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,79,0.07,4.18993940115796e-17,0.07,1.94444444444e-05,3.40978141370277e-21,1.94444444444e-05,0.07,4.18993940115796e-17,0.07,1.94444444444e-05,3.40978141370277e-21,1.94444444444e-05
4,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0753269144476692,0.0516075804477372,0.07,0.000801576004306999,0.0022908609276439,1.94444444444e-05,0.0601507406020316,0.0243924262769807,0.07,1.9444534286604e-05,2.33654680393199e-10,1.94444444444e-05
4,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0847682082988657,0.0822267660203052,0.07,0.0011797321401622,0.0036273513313687,1.94444444444e-05,0.0709699359392514,0.0494559209650031,0.07,0.000791915665243493,0.00306172320491188,1.94444444444e-05
4,25,750,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,18,0.0702250247511743,0.0031218417964731,0.07,0.000857827311578995,0.00196596266598639,1.94444444444e-05,0.0702250247511743,0.0031218417964731,0.07,0.000857827311578995,0.00196596266598639,1.94444444444e-05
4,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0937613939509677,0.104874728543063,0.07,0.000665518261641817,0.00245732225036189,1.94444444444e-05,0.0637196053479062,0.0199622631177815,0.07,1.94444723061545e-05,1.0409195927488e-10,1.94444444444e-05
4,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,95,0.100023946015023,0.11762731259453,0.07,0.00108268130218894,0.00371066058998181,1.94444444444e-05,0.0771480062076606,0.0724515885905034,0.07,0.000549167948488896,0.00270892075946611,1.94444444444e-05
4,49,250,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0740998069085519,0.0429699598803164,0.07,0.00034934115060741,0.00170192773337443,1.94444444444e-05,0.0657861233270067,0.0166745579738606,0.07,1.94444737651758e-05,1.23607653108933e-10,1.94444444444e-05
