UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0886880973923019,0.103834003169358,0.07,0.0043418825003337,0.00454208153924269,0.0045333342166669,0.0285985236355674,0.0335738656409618,0.0017500097500051,0.000116667204882479,4.95577378910806e-10,0.000116667316667
1,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0595474733576212,0.00924037201618564,0.055988190763697,0.00239238995370451,0.00211030272900535,0.0024516730339439,0.0275843948824503,0.0326375682393324,0.0026923173076978,0.000116667099495204,4.00704354706926e-10,0.0001166670833336
1,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.05848418105466,0.00920325230146428,0.0520454643181883,0.00208804752828308,0.00184836184036801,0.0021500003666667,0.0285265736806685,0.0330109816222681,0.0030434878260902,0.00011666705690259,3.66550963359329e-10,0.0001166670333335
1,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0579296925106736,0.00900011031959756,0.0516363734545515,0.0022715492491585,0.00196927868136039,0.0027833338666669,0.0270677079430906,0.0319979754462402,0.0023333430000051,0.000121717599326842,4.26220460361017e-05,0.0001166672000002
2,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.102255926529542,0.129776797377021,0.07,0.00379529888531202,0.00500075800763295,0.0002000000166666,0.0359396461521169,0.0340693803818878,0.035000005000004,0.000117508817340309,8.37536930570103e-06,0.0001166666833333
2,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0604414062163246,0.00916020048836974,0.060000005,0.00185385931386135,0.00196791674810962,0.0004500000666668,0.0340775853336299,0.0330888725250868,0.0140000080000063,0.000118350507744313,1.17839250409783e-05,0.0001166667333334
2,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0601378198889572,0.00950191908529185,0.0533333416666656,0.00171144812828303,0.00176721347146594,0.0005333334166667,0.034943310709827,0.0337407247028685,0.0116666749999992,0.000116666983501875,3.50966571188304e-10,0.00011666675
2,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0601653318162494,0.00907808105447116,0.0566666733333273,0.00186767711228978,0.00190611718326038,0.0002833333666667,0.0343574574768114,0.0329067129050452,0.02333334,0.0001449498395625,0.000222303159978473,0.0001166667
3,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0697175900720974,0.0119028109830281,0.07,0.00313606709246335,0.00352902306722086,0.0001166666666667,0.0376081347707405,0.0343165757972255,0.07,0.000116667108754469,5.03639753650016e-10,0.0001166666666667
3,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0610003004832394,0.00987298166612652,0.0600000050000008,0.00175901537253504,0.00195370724479822,0.0002833333666667,0.0348102132691333,0.0330243119676137,0.0233333400000006,0.000117508733165176,8.37535754185042e-06,0.0001166667
