UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.336480598108317,0.268641378170613,0.401178116967634,0.0396659785008179,0.0469779319971678,0.0095780698855437,0.0272392084991696,0.0332420483190005,0.0020000097142916,0.000123997002735721,7.29287617822478e-05,0.0001166672500004
1,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.227558256108097,0.231658519719855,0.07,0.0226775236731688,0.0339854747585098,0.0049500009666677,0.0286052846098756,0.0331093861201413,0.0024138027586276,0.000145040833309304,0.000168158699004314,0.0001166672000002
1,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.217943695500648,0.238347349711679,0.07,0.0232479737501959,0.0360612820763162,0.0042000008166675,0.027860686871067,0.0334614525002808,0.001944454166672,0.000116667300505419,6.10362725101606e-10,0.0001166672500003
1,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.150809492786635,0.194925966347934,0.07,0.0132673395445126,0.0258251293421626,0.0035333340166669,0.0276805191182692,0.0330765390452601,0.0020588332352989,0.000116667221212441,5.40197501343331e-10,0.0001166672166669
2,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.323406775763112,0.279393255110958,0.0854160642096541,0.0345782707404818,0.0442078415621967,0.0054500010666672,0.0305752789891991,0.0335851977456311,0.0031818277272777,0.000116667302020578,7.07200453756573e-10,0.0001166670166669
2,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.226421500321124,0.238171346430103,0.07,0.0230119640499907,0.0346119134552365,0.0032000006166671,0.0321796350910414,0.0337205596994257,0.0038888983333401,0.000128482718492597,0.000117562780795315,0.0001166670000001
2,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.173838290101112,0.206681494422751,0.07,0.0135615422312962,0.0260794982153915,0.0002833333666667,0.0357930617115505,0.0341200480818814,0.02333334,0.000117508863636632,8.3753849164532e-06,0.0001166667
2,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.141510608650427,0.176142868983522,0.07,0.0105672616071771,0.0219684902879505,0.0007833334666665,0.0377110310154761,0.040556977986956,0.0175000075000042,0.000332012704021612,0.00214266196019731,0.0001166668000001
3,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.267269077345799,0.252020393899692,0.07,0.0282079684637994,0.042816500699954,0.0045537145908334,0.0328313680849307,0.033786298848406,0.0046666760000074,0.000126885112711622,0.000101666617843705,0.0001166669500002
3,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.218856926975566,0.235026594621484,0.07,0.0194556805262632,0.0314330293915044,0.0021252253795924,0.0352399037443286,0.0341054304205444,0.0175000075000042,0.000123061796193415,6.36257976677079e-05,0.0001166667166667
3,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.143901775100122,0.184587278265784,0.07,0.0102802080213166,0.0216090694998525,0.0002000000166667,0.0358853168259398,0.0341186329917799,0.035000005,0.000117508841751095,8.37539390411824e-06,0.0001166666833333
3,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.131745415984272,0.164149812660005,0.07,0.0103938190290353,0.0234591993031029,0.0008835951671796,0.0350763251442107,0.0337617227018673,0.0175000075000024,0.000133382197196872,0.000166313130744573,0.0001166667166667
4,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.343774889419738,0.25742535303677,0.484908910294335,0.0418465381460003,0.044813482554638,0.0261903719492067,0.0258184401261301,0.0329029696739263,0.0014583431250063,0.000171549525302872,0.00039398951860227,0.0001166675166672
4,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.223336853936707,0.244659210814615,0.07,0.0254983781021592,0.0377379801160855,0.0058398430943908,0.0252044477641558,0.0327419136005973,0.0015909188636423,0.0001166673764314,6.25629339945566e-10,0.0001166673833338
4,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.215739647795766,0.230714629287827,0.07,0.0196773872233244,0.0292999428403122,0.0043663784040022,0.0258934228864885,0.0328204700383334,0.0018919016216276,0.000117509015151859,8.37537122524816e-06,0.0001166672666671
