UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.336480598108317,0.268641378170613,0.401178116967634,0.0396659785008179,0.0469779319971678,0.0095780698855437,0.0272392084991696,0.0332420483190005,0.0020000097142916,0.000123997002735721,7.29287617822478e-05,0.0001166672500004
1,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.227558256108097,0.231658519719855,0.07,0.0226775236731688,0.0339854747585098,0.0049500009666677,0.0286052846098756,0.0331093861201413,0.0024138027586276,0.000145040833309304,0.000168158699004314,0.0001166672000002
1,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.219453325046573,0.239096588255952,0.07,0.0234840074959461,0.0361697397635126,0.0044500008666674,0.0274306938799554,0.0333574365216532,0.0018696678525699,0.000116667306973161,6.10081364184028e-10,0.00011666727500035
1,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,90,0.147902824668367,0.192974037285693,0.07,0.0125073385297545,0.0247018464260467,0.00359166735000035,0.0272396339009744,0.0329556698893629,0.00202942147479465,0.000116667213518833,5.23963463486606e-10,0.00011666722500025
2,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.323406775763112,0.279393255110958,0.0854160642096541,0.0345782707404818,0.0442078415621967,0.0054500010666672,0.0305752789891991,0.0335851977456311,0.0031818277272777,0.000116667302020578,7.07200453756573e-10,0.0001166670166669
2,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.226421500321124,0.238171346430103,0.07,0.0230119640499907,0.0346119134552365,0.0032000006166671,0.0321796350910414,0.0337205596994257,0.0038888983333401,0.000128482718492597,0.000117562780795315,0.0001166670000001
2,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.174897864489899,0.207473687774645,0.07,0.0136987348390985,0.0261776510184489,0.0005750000916667,0.035444011320852,0.0341173472483304,0.0151666745000025,0.000117517457483264,8.41800755831538e-06,0.00011666675833335
2,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,90,0.138217786261187,0.171269688904531,0.07,0.0102974611583646,0.0217150573091932,0.0002416666916667,0.0391387304968069,0.0416781254822525,0.07,0.000362732838035825,0.00233438494625858,0.0001166666916667
3,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.267269077345799,0.252020393899692,0.07,0.0282079684637994,0.042816500699954,0.0045537145908334,0.0328313680849307,0.033786298848406,0.0046666760000074,0.000126885112711622,0.000101666617843705,0.0001166669500002
3,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.218856926975566,0.235026594621484,0.07,0.0194556805262632,0.0314330293915044,0.0021252253795924,0.0352399037443286,0.0341054304205444,0.0175000075000042,0.000123061796193415,6.36257976677079e-05,0.0001166667166667
3,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.14483728065103,0.185300271714477,0.07,0.0103771149045273,0.0216985375907117,0.0001583333416667,0.0361721283581772,0.0341738814284435,0.0525000025,0.00011751743401386,8.41801675437402e-06,0.000116666675
3,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,90,0.128363719037277,0.160705443286323,0.07,0.0102868827797824,0.0238334664323095,0.00062513094192315,0.0353655449747467,0.0337406421886906,0.0262500062500014,0.000135053709323942,0.000174430682849626,0.0001166667
4,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.343774889419738,0.25742535303677,0.484908910294335,0.0418465381460003,0.044813482554638,0.0261903719492067,0.0258184401261301,0.0329029696739263,0.0014583431250063,0.000171549525302872,0.00039398951860227,0.0001166675166672
4,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.223336853936707,0.244659210814615,0.07,0.0254983781021592,0.0377379801160855,0.0058398430943908,0.0252044477641558,0.0327419136005973,0.0015909188636423,0.0001166673764314,6.25629339945566e-10,0.0001166673833338
4,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.217421995479574,0.231289661444689,0.07,0.0198582789259434,0.029394968494644,0.0044415229520012,0.0261265854891456,0.0329066958943144,0.00186700831081605,0.000117517606803066,8.41799402014709e-06,0.00011666727500035
