UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.336480598108317,0.268641378170613,0.401178116967634,0.0396659785008179,0.0469779319971678,0.0095780698855437,0.336480598108317,0.268641378170613,0.401178116967634,0.0396659785008179,0.0469779319971678,0.0095780698855437
1,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.227558256108097,0.231658519719855,0.07,0.0226775236731688,0.0339854747585098,0.0049500009666677,0.227558256108097,0.231658519719855,0.07,0.0226775236731688,0.0339854747585098,0.0049500009666677
1,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.217943695500648,0.238347349711679,0.07,0.0232479737501959,0.0360612820763162,0.0042000008166675,0.217943695500648,0.238347349711679,0.07,0.0232479737501959,0.0360612820763162,0.0042000008166675
1,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.150809492786635,0.194925966347934,0.07,0.0132673395445126,0.0258251293421626,0.0035333340166669,0.150809492786635,0.194925966347934,0.07,0.0132673395445126,0.0258251293421626,0.0035333340166669
2,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.323406775763112,0.279393255110958,0.0854160642096541,0.0345782707404818,0.0442078415621967,0.0054500010666672,0.323406775763112,0.279393255110958,0.0854160642096541,0.0345782707404818,0.0442078415621967,0.0054500010666672
2,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.226421500321124,0.238171346430103,0.07,0.0230119640499907,0.0346119134552365,0.0032000006166671,0.226421500321124,0.238171346430103,0.07,0.0230119640499907,0.0346119134552365,0.0032000006166671
2,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.173838290101112,0.206681494422751,0.07,0.0135615422312962,0.0260794982153915,0.0002833333666667,0.173838290101112,0.206681494422751,0.07,0.0135615422312962,0.0260794982153915,0.0002833333666667
2,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.141510608650427,0.176142868983522,0.07,0.0105672616071771,0.0219684902879505,0.0007833334666665,0.141510608650427,0.176142868983522,0.07,0.0105672616071771,0.0219684902879505,0.0007833334666665
3,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.267269077345799,0.252020393899692,0.07,0.0282079684637994,0.042816500699954,0.0045537145908334,0.267269077345799,0.252020393899692,0.07,0.0282079684637994,0.042816500699954,0.0045537145908334
3,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.218856926975566,0.235026594621484,0.07,0.0194556805262632,0.0314330293915044,0.0021252253795924,0.218856926975566,0.235026594621484,0.07,0.0194556805262632,0.0314330293915044,0.0021252253795924
3,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.143901775100122,0.184587278265784,0.07,0.0102802080213166,0.0216090694998525,0.0002000000166667,0.143901775100122,0.184587278265784,0.07,0.0102802080213166,0.0216090694998525,0.0002000000166667
3,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.131745415984272,0.164149812660005,0.07,0.0103938190290353,0.0234591993031029,0.0008835951671796,0.131745415984272,0.164149812660005,0.07,0.0103938190290353,0.0234591993031029,0.0008835951671796
4,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.343774889419738,0.25742535303677,0.484908910294335,0.0418465381460003,0.044813482554638,0.0261903719492067,0.343774889419738,0.25742535303677,0.484908910294335,0.0418465381460003,0.044813482554638,0.0261903719492067
4,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.223336853936707,0.244659210814615,0.07,0.0254983781021592,0.0377379801160855,0.0058398430943908,0.223336853936707,0.244659210814615,0.07,0.0254983781021592,0.0377379801160855,0.0058398430943908
4,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.215739647795766,0.230714629287827,0.07,0.0196773872233244,0.0292999428403122,0.0043663784040022,0.215739647795766,0.230714629287827,0.07,0.0196773872233244,0.0292999428403122,0.0043663784040022
4,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.153674353900463,0.196883211716127,0.07,0.0118377760785029,0.0221971569527065,0.0040980540771865,0.153674353900463,0.196883211716127,0.07,0.0118377760785029,0.0221971569527065,0.0040980540771865
5,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.305914912553311,0.251737279538352,0.0926687795383506,0.0330261957185241,0.0431172113210923,0.0063958060697289,0.305914912553311,0.251737279538352,0.0926687795383506,0.0330261957185241,0.0431172113210923,0.0063958060697289
5,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.227939610772852,0.239099362240464,0.07,0.0231508144921421,0.0357089747781841,0.0039000007333336,0.227939610772852,0.239099362240464,0.07,0.0231508144921421,0.0357089747781841,0.0039000007333336
5,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.184120671866615,0.217244243797896,0.07,0.0141557721754006,0.0265355256654238,0.0031067681158365,0.184120671866615,0.217244243797896,0.07,0.0141557721754006,0.0265355256654238,0.0031067681158365
5,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.142519614835549,0.181583818027166,0.07,0.0114196161888854,0.0226660851314597,0.0031222479114505,0.142519614835549,0.181583818027166,0.07,0.0114196161888854,0.0226660851314597,0.0031222479114505
6,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.28080144428262,0.255093359752639,0.0738607341492253,0.0313199628839014,0.0424697686570578,0.0062163807566523,0.28080144428262,0.255093359752639,0.0738607341492253,0.0313199628839014,0.0424697686570578,0.0062163807566523
