UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.342967017686249,0.269871252354863,0.456905863177335,0.041113526394426,0.0469762439783251,0.0174014338717425,0.0270219430731799,0.0333819727652787,0.0016666764285788,0.000116667419529058,7.55363096088212e-10,0.0001166673500004
1,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.22795290593512,0.239436176959523,0.07,0.0223168056319779,0.0344379261540288,0.005252367952215,0.0274835254258781,0.033191987280414,0.0018421150000053,0.000121021678058097,4.33258699953566e-05,0.0001166672833337
1,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.184183647785177,0.214724537278944,0.07,0.014264209419581,0.0236549540417439,0.0044500008666676,0.0263253713669561,0.0326880352602999,0.0018421150000062,0.000121564392186601,4.87260815215541e-05,0.0001166673000004
1,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.141142924226636,0.178741363319919,0.07,0.0108530897645788,0.0207904131654897,0.0035333340166664,0.0273793417525647,0.0330945131673116,0.0021212218181876,0.000116667201546698,5.06983233561814e-10,0.0001166672000003
2,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.323280830734853,0.269139660626088,0.0863170445609544,0.0350376852192523,0.0441327382618895,0.008453014995061,0.0294768123755303,0.0336455951360174,0.0029166762500061,0.000154748717584513,0.00037890523453485,0.0001166670666669
2,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.236391941210506,0.247508131033516,0.07,0.0215076958121845,0.0343345104168141,0.0033166672833338,0.0326651977252605,0.0338964212443725,0.0035000095000047,0.00011666717323263,5.98391116119536e-10,0.0001166669833335
2,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.215355049932943,0.245825728693135,0.07,0.0204299856877333,0.0343919674488576,0.0029778959168863,0.0328944494155478,0.0337469646491677,0.0058333425000054,0.000116667197643418,6.0399783706227e-10,0.0001166668500001
2,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.14359870794574,0.191022470198484,0.07,0.0109870740111303,0.0230056778338021,0.0007000001166669,0.033992153619563,0.0335418100232741,0.0087500087500061,0.000120019783022839,3.30200761194401e-05,0.0001166667833334
3,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.25871536421427,0.254568701540433,0.07,0.0259028098580829,0.0402895986049096,0.0030598604576974,0.0336037565950827,0.0337988122757429,0.0070000090000049,0.000126994028539004,0.000102750523086175,0.0001166668333334
3,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.205709374734837,0.227125263780515,0.07,0.020468465869146,0.0363832190694784,0.0010333335166663,0.0350876103679504,0.0341279478257814,0.0087500087500043,0.000116667152862246,6.09798637000167e-10,0.0001166667833334
3,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.192276598439287,0.221983883333478,0.07,0.0170366138316702,0.0286086277926175,0.0020666670500005,0.0324349254825361,0.0335919727841177,0.0031818277272783,0.000116667155219144,5.3784076323811e-10,0.0001166670166669
3,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.130206324143684,0.172602521346638,0.07,0.00884602525256645,0.0201055021529882,0.0002000000166667,0.0351794319934065,0.0337316717772289,0.035000005,0.000118385272165189,1.19035768859941e-05,0.0001166666833333
4,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.350891613069239,0.257501380304861,0.495985998020812,0.0424552882808972,0.0461671957801736,0.0268915286783127,0.0249376518789738,0.0327681198260467,0.0016279167441918,0.000121589169562663,3.50732280745266e-05,0.0001166674000005
4,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.241096564760383,0.247840869799271,0.07,0.0230646737367042,0.0344794122944797,0.0047833342666669,0.0255231398301749,0.0325364198498522,0.0020000097142907,0.000116667292592951,6.06293952483708e-10,0.0001166672333336
4,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.188731677398693,0.221837521410814,0.07,0.0171053139259364,0.0274615458666172,0.005115920749169,0.0245446504011592,0.032484111352197,0.0015555653333383,0.000116667322896011,5.55184014245749e-10,0.0001166674000003
4,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.142456626872665,0.179251395620868,0.07,0.0123913278073782,0.0226732222176774,0.0042833341666672,0.0255175885072682,0.0324770118931151,0.0016666764285768,0.000116667258247765,5.11738212160882e-10,0.0001166673500005
5,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.314980262998363,0.264520771072782,0.0806682639401067,0.0342060711938092,0.0442637795925528,0.0088984422681044,0.0280170910071113,0.0333421391669788,0.0024138027586249,0.000119943183523523,3.25941184863611e-05,0.0001166671833336
5,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.220646159424513,0.236747621846822,0.07,0.022605736163529,0.0359330059721783,0.004168839338411,0.0298678501076987,0.0335577925621881,0.0017948815384669,0.000120164199419198,2.76329909819155e-05,0.0001166673333336
5,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.200385129475609,0.228868691977342,0.07,0.0177019424543932,0.0283420359838168,0.004167121047078,0.028160279416736,0.0329959252038013,0.0022580741935545,0.00011666723047171,5.46023019820567e-10,0.0001166671666669
5,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.142565938300973,0.19351831749815,0.07,0.0110229234424057,0.0225842744247056,0.0028666672166666,0.0298271934537437,0.0334561670103623,0.0025926022222272,0.000116667166151503,5.16378196630412e-10,0.0001166671000002
6,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.288252519766997,0.258863178174361,0.0757796316538816,0.0311641175746366,0.0409697157017812,0.0052000010166671,0.0282970187166121,0.0332717336156713,0.0026923173076961,0.000130948892989245,0.000102274040653551,0.0001166671666669
6,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.22768432475311,0.244043652330779,0.07,0.0210637199263293,0.0317728558549957,0.0050333343000007,0.0278299586260611,0.0334665319928625,0.0018919016216274,0.000116667260269713,5.73244989321963e-10,0.000116667266667
6,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.187151666630216,0.216431690571198,0.07,0.0164060966281038,0.028432753813365,0.0040561123186674,0.0275464244374262,0.0331439430560997,0.0021212218181887,0.000116667241077776,5.71648644026934e-10,0.0001166672000003
6,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.161709114527086,0.203540811693407,0.07,0.0129349287345909,0.023474888724408,0.0033166673000003,0.0293458455472457,0.0335654257973043,0.0025000096428637,0.000133514485470102,0.000165926922468677,0.0001166671666669
7,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.323879557132759,0.278346089554833,0.0826537248419532,0.03377054270226,0.0422843400210374,0.0076814967339161,0.0265206425563622,0.0330669225030771,0.0020588332353004,0.000116667328788273,6.69191249985292e-10,0.000116667216667
7,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.243277920045518,0.248525961485413,0.07,0.0244303932913579,0.0342607891158225,0.0048020975945005,0.0264897928011094,0.0327046632082121,0.0018919016216267,0.000135016290499839,0.000182570106310504,0.0001166673000003
7,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.142553565791852,0.180475169612832,0.07,0.0115401190468226,0.0226037463109204,0.0042306862079283,0.0287012881027997,0.0335023339989082,0.0018421150000064,0.000116667234175422,5.61790927833703e-10,0.0001166672833336
7,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.153403952230751,0.19599499625231,0.07,0.0150727465108947,0.0277921593587937,0.0037333340333338,0.029081521033827,0.0337447765802546,0.0020000097142907,0.000123736619153211,4.6305593150123e-05,0.000116667366667
8,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.328674112268604,0.267964573907595,0.144416269648326,0.0372642831723268,0.0440030599974499,0.0101863026807037,0.0263175314239755,0.0328306707499463,0.0015555653333398,0.000116667389394347,7.02463866920056e-10,0.0001166674000005
8,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.212742495099676,0.224550519405796,0.07,0.0195439159175134,0.0322714940074383,0.0052311851729952,0.0252420421466596,0.0321768508473177,0.0020588332352991,0.000116667271380826,5.97652775169922e-10,0.0001166672166669
8,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.204490286652122,0.237657311525214,0.07,0.0200146936397119,0.0316709590197135,0.0041787697052009,0.025960085186861,0.0329114817780952,0.0015909188636418,0.000116667317003745,5.92771300326195e-10,0.0001166673833336
8,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.125403895580937,0.164471160348517,0.07,0.00867043072438516,0.0187265754407285,0.0036166673666672,0.0269282484598466,0.0327843040477926,0.0020588332352991,0.000132924282023046,0.000151800121027588,0.0001166672666669
9,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.327960783034993,0.262901999852876,0.347502092768068,0.0418601790954142,0.0491197984277639,0.0110663278561276,0.026401559657121,0.0331717753031004,0.0016666764285782,0.000121667554877361,4.97503459948248e-05,0.0001166673833336
9,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.243889020064709,0.24383624238445,0.07,0.0229335470177873,0.0328611201177307,0.0044833341833344,0.0261786147765678,0.0323720782190724,0.0021875096875055,0.000125011844177911,8.30279243381836e-05,0.0001166672000003
9,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.170944528314634,0.204520891939172,0.07,0.0156261881232519,0.0293007881329411,0.004033334116667,0.0282775912073,0.033209162818198,0.002258074193554,0.000116667220034002,5.56328461475393e-10,0.000116667166667
9,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.155583717755887,0.194151937272189,0.07,0.0136462681147405,0.0250322926295506,0.0035676712224581,0.0277976721721384,0.032969824016757,0.0018919016216276,0.000116667236426447,5.45845975307047e-10,0.000116667266667
10,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.326268531042812,0.260053637105663,0.372888424153914,0.0387503976391992,0.0471635065083694,0.0143185995033536,0.0259552722650846,0.0328315339691785,0.0021212218181887,0.000116667414815256,7.57206500182711e-10,0.0001166672000004
10,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.243761524555356,0.245133588659968,0.07,0.0216162418072134,0.0316448467780164,0.0052968612815702,0.027657185409222,0.0326306106730636,0.0022580741935547,0.000135471920135066,0.000144636267109826,0.0001166672000003
10,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.199815508985003,0.227092114082104,0.07,0.018140361159088,0.0308382349520706,0.0032833339666672,0.0284700667815401,0.0328160366663304,0.0024138027586257,0.000133457213917317,0.000167058375177401,0.0001166671500002
10,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.142153273334962,0.182208256156709,0.07,0.0102033432243096,0.0207798371226251,0.0022666670500005,0.0289727770252892,0.0332863356378005,0.0029166762500061,0.000116667131271744,4.74788567902726e-10,0.0001166670500002
11,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.298155378687288,0.253737655984101,0.0821900931050046,0.0331837653740697,0.0428927761490636,0.0075501689942403,0.0298552169375288,0.0339362508706937,0.002333343000006,0.0001166673208758,7.05631857346589e-10,0.0001166671500003
11,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.215193583893656,0.235674752372576,0.07,0.0217931383274608,0.0371041546109299,0.003283333966667,0.0306631485773433,0.0339511966377944,0.0025926022222259,0.000121112058076918,4.42255273325872e-05,0.0001166671166669
11,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.149992497837328,0.197129583575905,0.07,0.0131195477189779,0.0292038356808756,0.002533333816667,0.0299723609704268,0.0333769493945807,0.0031818277272793,0.000117508905219151,8.3753197757072e-06,0.0001166670500002
11,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.139748592303462,0.186558584007018,0.07,0.0105794152105555,0.0204603088040003,0.0033166673000003,0.0294038116893789,0.0335629984160679,0.002000009714292,0.000128694676804435,0.000118457054098304,0.000116667266667
12,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.305068837866211,0.259484649640973,0.0815098908040138,0.034402154992949,0.0416495585693222,0.0074959731479146,0.0281745678405542,0.0333822051580319,0.001707326829272,0.000116667349832044,6.7582393391532e-10,0.0001166673333336
12,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.229565849821008,0.23726614538908,0.07,0.0231203182649913,0.0330989102833904,0.0045666675333343,0.0290370658886802,0.0335326581387563,0.0016666764285778,0.00011666727878823,5.90797164964793e-10,0.0001166673500004
12,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.186479150844227,0.220456864535025,0.07,0.0170134699454322,0.03070594888008,0.0027202400685552,0.031155771875186,0.0337537726644718,0.0029166762500046,0.000116667185522187,5.55755833601849e-10,0.0001166670500002
12,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.139855677359933,0.185518483820555,0.07,0.0116738226166211,0.0246756481006706,0.0022833337666666,0.0302306652678474,0.0336720592827453,0.0025926022222278,0.000116667178007174,5.32391750462546e-10,0.0001166671000002
13,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.278039869625735,0.269722763541702,0.07,0.0333495298722759,0.0447371414891383,0.005421684982106,0.0304314053246483,0.0341493389094015,0.0016666764285788,0.000122371369394806,5.67541410164447e-05,0.0001166674166671
13,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.229799967248865,0.248234706340143,0.07,0.0208410261082482,0.0330172113227092,0.0037925165744316,0.0307726009668736,0.0338796607613793,0.0025000096428625,0.000118077078507743,1.4028166495498e-05,0.0001166671166668
13,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.201913823187043,0.223862174457708,0.07,0.0179240024965318,0.0304121520004006,0.0041555076097586,0.0302365189745307,0.0337760515455993,0.0026923173076964,0.000116667212963282,5.72393126672368e-10,0.0001166670833335
13,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,97,0.168254934625247,0.215743058874419,0.07,0.0134661354383243,0.0261635918447369,0.0030333339166671,0.0303381576900171,0.0332310920503601,0.0028000096000045,0.000116667156529494,5.2926294876892e-10,0.0001166670666669
14,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.312945920008637,0.263867293173378,0.0826280158798864,0.0426490125634869,0.0532109463985587,0.0090776755584212,0.0282360153855997,0.0332753638336649,0.0021212218181861,0.000147803280034802,0.000234457586060767,0.0001166673000002
14,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.249119725101468,0.244042466274278,0.07,0.0214861008156286,0.0317721211811566,0.0058119984620169,0.0253218217161703,0.0321263221180445,0.0021875096875056,0.000116667233333671,5.58647039353871e-10,0.0001166671833336
