UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability,mean_meanOutageDuration_wi_BF,std_meanOutageDuration_wi_BF,median_meanOutageDuration_wi_BF,mean_outageProbability_wi_BF,std_outageProbability_wi_BF,median_outageProbability_wi_BF
1,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.333494112910411,0.268237892554093,0.278471555687096,0.038661758643901,0.046314132658301,0.00934974702724515,0.0273468946293955,0.0332540395690607,0.00206061576623945,0.000124226040147578,7.40595090409693e-05,0.00011666724166705,0.0273468946293955,0.0332540395690607,0.00206061576623945,0.000124226040147578,7.40595090409693e-05,0.00011666724166705
1,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.216547129645721,0.229114400805236,0.07,0.0215440393537723,0.0335743927048007,0.0037000007166671,0.0294128685233188,0.0333068096413786,0.0024138027586276,0.000141460326562066,0.000166310979358376,0.0001166671833336,0.0294128685233188,0.0333068096413786,0.0024138027586276,0.000141460326562066,0.000166310979358376,0.0001166671833336
1,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.227133311629405,0.245532220040966,0.07,0.0249551882622056,0.0379899819244846,0.00398422467416415,0.0292959637617002,0.0338038803885149,0.00200164370098555,0.00011666729682576,6.29158393265456e-10,0.0001166672333336,0.0292959637617002,0.0338038803885149,0.00200164370098555,0.00011666729682576,6.29158393265456e-10,0.0001166672333336
1,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.156104614655637,0.200812273395239,0.07,0.0141048426076549,0.0258276100731561,0.0038833340750004,0.0255683861999176,0.0325359117536158,0.0017073268292743,0.000116667262719639,5.36448612673303e-10,0.00011666733333375,0.0255683861999176,0.0325359117536158,0.0017073268292743,0.000116667262719639,5.36448612673303e-10,0.00011666733333375
2,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.321582846892708,0.280508837951712,0.077708032104827,0.034733662304491,0.0444151344141693,0.0049849780716777,0.0307192032307446,0.033646529041708,0.00311265777668515,0.000116667307118434,7.10616401473686e-10,0.00011666702500025,0.0307192032307446,0.033646529041708,0.00311265777668515,0.000116667307118434,7.10616401473686e-10,0.00011666702500025
2,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.217062691591556,0.232510374733775,0.07,0.0220336334984922,0.0345589579462832,0.0013666669166667,0.0340004448289774,0.0339448615214459,0.0043750093750057,0.000116667200183471,5.96147910730658e-10,0.0001166669166668,0.0340004448289774,0.0339448615214459,0.0043750093750057,0.000116667200183471,5.96147910730658e-10,0.0001166669166668
2,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.179820248426332,0.21175085001708,0.07,0.0133964518686401,0.0264192836912121,0.0001166666666667,0.0378864282983835,0.0339804353234637,0.07,0.000116667056746265,5.29126005030885e-10,0.0001166666666667,0.0378864282983835,0.0339804353234637,0.07,0.000116667056746265,5.29126005030885e-10,0.0001166666666667
2,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.134302695522434,0.169193439712291,0.07,0.00939160245192122,0.0204862455182834,0.0001166666666667,0.037967681488242,0.0340490758741791,0.07,0.000116667047149358,4.8813647057265e-10,0.0001166666666667,0.037967681488242,0.0340490758741791,0.07,0.000116667047149358,4.8813647057265e-10,0.0001166666666667
3,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.261292274008549,0.248870433685179,0.07,0.0268163172548305,0.0417440899083159,0.00393871856347235,0.0331135661375884,0.0337817391891574,0.0055151607272781,0.000127204404601897,0.000103242940216218,0.0001166669250002,0.0331135661375884,0.0337817391891574,0.0055151607272781,0.000127204404601897,0.000103242940216218,0.0001166669250002
3,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.196130419117203,0.226606165583411,0.07,0.0169383275384661,0.0309195907993402,0.0001166666666667,0.0373965656123651,0.0341052859307552,0.07,0.000116667133333624,5.90454232938989e-10,0.0001166666666667,0.0373965656123651,0.0341052859307552,0.07,0.000116667133333624,5.90454232938989e-10,0.0001166666666667
