UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.336480598108317,0.268641378170613,0.401178116967634,0.0396659785008179,0.0469779319971678,0.0095780698855437,0.028929578852054,0.0331826917974629,0.0052436804845248,0.00036433917150139,0.00123793100066432,0.0001166673000003
1,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.27099603843278,0.251373706415328,0.07,0.0287800590271025,0.036893074489176,0.0063166679000004,0.0286671944910098,0.0326200616046069,0.0037949412392184,0.00030605635706986,0.0008057965391858,0.0001166673666671
1,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.191431047577018,0.218326050282336,0.07,0.0174481533273596,0.0295041599990446,0.004900000933334,0.028114334165021,0.0319005779956525,0.0031818277272793,0.000301202287216094,0.000698940652978244,0.0001166673500004
1,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.169773994463661,0.209762946473405,0.07,0.0157029769157221,0.0281994754159999,0.0042833341666673,0.0325301738862081,0.0453544745372583,0.0048183424466085,0.000565221438218576,0.00262273000992368,0.0001166673666671
2,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.323406775763112,0.279393255110958,0.0854160642096541,0.0345782707404818,0.0442078415621967,0.0054500010666672,0.0330893739735922,0.0329066923980621,0.0142745838222876,0.000490246969044135,0.00162358230460698,0.0001166670166669
2,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.206474276934762,0.228902366740988,0.07,0.0195164705108477,0.0353768196452366,0.001950000366667,0.0342624520777949,0.0326578788786688,0.035000005,0.000259286507800362,0.000815281713847592,0.0001166668000001
2,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.145564312023839,0.180259585490109,0.07,0.0109929477980079,0.0225434704590014,0.0017000003166671,0.0339992372698049,0.0333348462518201,0.0124427532984229,0.000206499381261724,0.000449167982864244,0.0001166668833334
2,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.131772278130375,0.178346295594603,0.07,0.00850485299445549,0.0180846521626913,0.0008666668166669,0.0380071515322477,0.0390079214928796,0.0350000049999969,0.00031408089606894,0.000782273837145694,0.0001166668166668
3,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.267269077345799,0.252020393899692,0.07,0.0282079684637994,0.042816500699954,0.0045537145908334,0.0339375330294166,0.0330893886169023,0.0151010942944527,0.000257104216206314,0.000544091248788716,0.0001166669500002
3,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.236711050032787,0.238776722009226,0.07,0.0239888115181709,0.037674855412267,0.0008666668166669,0.0361698825493719,0.0336434778877281,0.0350000049999969,0.000231938975142344,0.000627543102599498,0.0001166667666667
3,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.185945792364442,0.213369125580052,0.07,0.0160777338592042,0.0296755864773245,0.0002000000166667,0.0447881455956199,0.0644565567553524,0.07,0.000994963381779926,0.00531701953994339,0.0001166666833333
3,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.176711123313596,0.225541492378862,0.07,0.0134105297613157,0.0257750448182841,0.0021166670666667,0.0372923252236897,0.0370882406695315,0.0263317983512572,0.000421329006690406,0.00158814440514629,0.0001166668833335
4,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.343774889419738,0.25742535303677,0.484908910294335,0.0418465381460003,0.044813482554638,0.0261903719492067,0.0270611406297361,0.0322543182666494,0.0036486585135188,0.00034996622279264,0.000747268574812666,0.0001166675333338
4,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.27684549262675,0.254681429726778,0.07,0.0277726231769774,0.0338970871968636,0.0063666679166677,0.0255192361644542,0.0323807387609844,0.0017948815384656,0.00027388463067416,0.00092950314976132,0.0001166674500004
4,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.20160237422058,0.225600265937318,0.07,0.0194941706662172,0.0331020299253856,0.0049223233936991,0.02703733527696,0.0323469478044555,0.0029166762500058,0.000270618084264393,0.000606842371856842,0.0001166673333338
4,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.177286722688224,0.209447756954934,0.07,0.0158709315338719,0.0281874810090356,0.004066667433334,0.0266179495893733,0.032151751679657,0.002500009642863,0.000336490647120062,0.000887529791562018,0.0001166672500004
5,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.305914912553311,0.251737279538352,0.0926687795383506,0.0330261957185241,0.0431172113210923,0.0063958060697289,0.0297698140037068,0.0328544784027004,0.0046214874389386,0.000333998970032145,0.000997532239915999,0.0001166671000002
5,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.227610995599806,0.245494072874548,0.07,0.0226427565918463,0.0357983431415135,0.0041166674666672,0.0314067372713879,0.0334301951715606,0.004666676000006,0.000293157254232369,0.00101953153971098,0.0001166672000003
5,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.203372387194994,0.226198604256201,0.07,0.0180496425437681,0.0301729305881902,0.0030994686381935,0.0306886457187585,0.033337596931429,0.0063636454545527,0.000472695396618979,0.00212916896364368,0.0001166670666668
5,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.192918353653119,0.224887575378042,0.07,0.0173891394999601,0.0294661822299404,0.0033666673166672,0.0292611169993586,0.0323103054773179,0.0043750093750057,0.000229017732267603,0.000543542883902302,0.000116667166667
6,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.28080144428262,0.255093359752639,0.0738607341492253,0.0313199628839014,0.0424697686570578,0.0062163807566523,0.0304351837439575,0.0328131655873257,0.0063162777918003,0.000364885507136829,0.000905700148628096,0.0001166671500003
6,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.243977980642245,0.248911982807414,0.07,0.0190224131146871,0.0296229171894497,0.0037833340666671,0.0312007307230967,0.0330991661183728,0.0046666760000051,0.000192753494402246,0.000351459692711664,0.0001166670833336
6,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.183216364408469,0.216370246182955,0.07,0.0183889967999514,0.0323101306056865,0.0034589759848465,0.0330114879927713,0.034390224108775,0.0043750093750047,0.000704577529870725,0.00254700682351695,0.0001166672666669
6,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.172860579664531,0.212089316359938,0.07,0.0147559917939533,0.0264228920691526,0.0031166672666671,0.0299217792680484,0.0330242265982194,0.0053846246153913,0.000228431574547539,0.000495106348651809,0.000116667216667
7,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.320901552536149,0.26584439928774,0.0876365154629729,0.0338457430561579,0.0432694097641137,0.0096455201164768,0.0262547975536964,0.0321238478897465,0.003043487826093,0.000239975978213642,0.000481426274770615,0.0001166673333337
