UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0895749587712758,0.10618504325477,0.07,0.00433266411484552,0.00443101584055447,0.0048056848631235,0.0285692885692032,0.0335894929826066,0.0018421150000058,0.000117508955555869,8.37536542743329e-06,0.0001166673333337
1,36,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0597499390872235,0.00943631596682795,0.0551421660582902,0.002378702753538,0.00208220149905525,0.0024000004500006,0.0276252474031457,0.0326055427657889,0.0025926022222262,0.000120034099158503,2.03401109561688e-05,0.000116667116667
1,49,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0583673967176668,0.00927195033496782,0.0520930330232583,0.00200521922979819,0.00171257992478147,0.0022333337333335,0.0283949900231381,0.0330849183661678,0.0026923173076994,0.000116667041246022,3.39904330767288e-10,0.0001166670833336
1,64,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0579227433579723,0.00897933756722148,0.0517742033871026,0.00220808122255916,0.00189230691868272,0.0027333338333332,0.0271237387737331,0.0318229999496749,0.0027907074418673,0.000141077855555793,0.000111201321877978,0.0001166671666669
2,25,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0974340138082375,0.116318831015392,0.07,0.00363861923965554,0.00487570284570358,0.0003666667166666,0.0357455570363806,0.0341338550820058,0.017500007500006,0.000117508815320114,8.3753695105922e-06,0.0001166667166667
2,36,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0622673067421851,0.0142759666759751,0.0644720497115449,0.00198223493394668,0.00207555550705512,0.0002000000166667,0.0345973757553503,0.0332605102001023,0.0350000050000004,0.000121212472559134,2.33064121499413e-05,0.0001166666833333
2,49,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0600847938002269,0.00952289289252396,0.0533333416666653,0.00164629660067357,0.00169405850617666,0.0005333334166666,0.0349268510785335,0.0336735424607503,0.0116666750000066,0.000116666971043963,3.36798372899693e-10,0.00011666675
2,64,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.059942453008619,0.00940588470936289,0.0566666733333083,0.00187037071919214,0.00192559855440988,0.0002833333666667,0.0346468922966404,0.0330760906322369,0.0233333400000003,0.000138552537373931,0.000119395921404347,0.0001166667
3,25,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0687171260447974,0.0114539049315434,0.07,0.0029496917887485,0.00332204938763271,0.0001166666666667,0.0373119898508379,0.0340993172575535,0.07,0.000119192346464911,1.86512519657906e-05,0.0001166666666667
3,36,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0612594388068525,0.00911074020086715,0.0606663333395707,0.00176917003703598,0.00188309493761413,0.0002833333666667,0.0346067952958771,0.0331649240461215,0.0233333399999982,0.000117508731986723,8.37538981158047e-06,0.0001166667
3,49,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0605427341558764,0.00947244640713744,0.0566666733333338,0.00176016843153784,0.00194066955256048,0.0002833333666667,0.0362956716143569,0.0337019444985083,0.0233333400000003,0.00011750874377124,8.37537677130656e-06,0.0001166667
3,64,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0603730281129021,0.00921646955084184,0.0600000049999812,0.00177272759899011,0.00185724922505201,0.0002000000166667,0.0352166672236142,0.0332296812639862,0.035000005,0.00012962995589244,8.15995678901312e-05,0.0001166666833333
4,25,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0888201829354278,0.100698032124323,0.07,0.00464957668745793,0.00462290115731056,0.0049999537513247,0.0256905716972642,0.0329372174543077,0.0016279167441913,0.000118350740572725,1.67507261496521e-05,0.000116667366667
4,36,500,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0603139700777974,0.0104753042654247,0.0546348030953933,0.00274433606859559,0.00215888383510276,0.0033332411595123,0.0254509524289854,0.0324629530366685,0.0021212218181889,0.000122559408754501,3.20602156603697e-05,0.000116667266667
