UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.0852342221846361,0.0866658092304975,0.07,0.00120314559084238,0.00449349059007184,1.94444444444e-05,0.0723965818721994,0.0518654077363689,0.07,0.000549452149819683,0.00222503592311486,1.94444444444e-05
1,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,94,0.113648175078741,0.145111977749265,0.07,0.00142943003359227,0.00494064806042781,1.94444444444e-05,0.0830497509945216,0.0900419235475148,0.07,0.000739146083476595,0.00400070156339903,1.94444444444e-05
1,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0862263261229314,0.0880181748440397,0.07,0.000777341539764577,0.00345510473253522,1.94444444444e-05,0.0652050375212576,0.0177199771805848,0.07,1.94444744569644e-05,1.14745017134626e-10,1.94444444444e-05
1,64,500,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0913383602477282,0.103715480621511,0.07,0.000436767522427797,0.00210317630414272,1.94444444444e-05,0.0668119881997973,0.013974114181447,0.07,3.94286549222486e-05,0.000169571591515303,1.94444444444e-05
2,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.0801308501501217,0.0695339244309859,0.07,0.000944353246426483,0.00384753093662043,1.94444444444e-05,0.0658567199192959,0.0163121371927014,0.07,0.000215446959576849,0.000912973774634571,1.94444444444e-05
2,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,94,0.0971621740571933,0.117035883333229,0.07,0.00105986946135987,0.00398134361323463,1.94444444444e-05,0.0898143627598681,0.100320782207309,0.07,0.000927400941084593,0.00379573873233367,1.94444444444e-05
2,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0756186887670313,0.0555367564941079,0.07,0.000449571603716324,0.00219255127526388,1.94444444444e-05,0.0644167775254066,0.0189844658012851,0.07,1.96041221580575e-05,1.48909739813324e-06,1.94444444444e-05
2,64,500,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0875615918948685,0.0871665494329712,0.07,0.000339272399331428,0.00149391182779978,1.94444444444e-05,0.0705186911994746,0.0244539868636824,0.07,9.07818301062473e-05,0.000460889850353166,1.94444444444e-05
3,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.0737072032310814,0.0383364597204618,0.07,0.000218502602229946,0.000912031733771995,1.94444444444e-05,0.0684857279010416,0.00944564889830917,0.07,0.000153534609610326,0.000753902784547365,1.94444444444e-05
3,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,94,0.0872849646221288,0.095706934766511,0.07,0.000457702142073041,0.00253502106691841,1.94444444444e-05,0.0801135433164717,0.0739908744871013,0.07,0.000292361039748171,0.00198690937881704,1.94444444444e-05
3,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0761607569822547,0.0574637156274528,0.07,0.000373293141489345,0.00330048092477979,1.94444444444e-05,0.0691997991219137,0.00746377690852617,0.07,1.94444502553414e-05,5.42008528999459e-11,1.94444444444e-05
3,64,500,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.07,2.79503539745159e-17,0.07,1.94444444444e-05,3.41190844415478e-21,1.94444444444e-05,0.07,2.79503539745159e-17,0.07,1.94444444444e-05,3.41190844415478e-21,1.94444444444e-05
4,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.0849189043019153,0.0826357862513139,0.07,0.00119157181052667,0.00364407782204856,1.94444444444e-05,0.070979833244754,0.0497100961801433,0.07,0.000799798024639402,0.00307645498173427,1.94444444444e-05
4,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,94,0.100343349696034,0.118216601444932,0.07,0.00109399233259048,0.00372891014433397,1.94444444444e-05,0.077224048826891,0.0728362602630679,0.07,0.000554803304914901,0.0027228860121079,1.94444444444e-05
4,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.075364908885507,0.0531795349117391,0.07,0.000338704290654896,0.00185392944305664,1.94444444444e-05,0.0667296248052121,0.01463776020413,0.07,5.42553610362586e-05,0.000324694439501285,1.94444444444e-05
4,64,500,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0747154127707625,0.0409668250749527,0.07,0.000147390359792674,0.000856817317294465,1.94444444444e-05,0.0706931354885244,0.0148262955885648,0.07,6.57114710578028e-05,0.000352748328226026,1.94444444444e-05
5,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.0934921733531312,0.101020646891707,0.07,0.001286619211261,0.00541512252954387,1.94444444444e-05,0.0692731951094824,0.0266709169160879,0.07,0.000309410523106435,0.00136230256995792,1.94444444444e-05
5,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,94,0.0863673011546759,0.0909815295916669,0.07,0.000820930185580048,0.00368718005142176,1.94444444444e-05,0.0741645667160209,0.0525168290383244,0.07,0.00049042526515842,0.00290297448868868,1.94444444444e-05
5,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0801364507035315,0.068727515104635,0.07,0.000341543768723809,0.00190959800569825,1.94444444444e-05,0.0660328368214065,0.0161604361732243,0.07,1.9444462898923e-05,8.21289014936642e-11,1.94444444444e-05
5,64,500,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,72,0.0779658081826373,0.0615608748659239,0.07,0.000318919871097173,0.00185345938496709,1.94444444444e-05,0.0755464959168232,0.05585599151666,0.07,0.000293339248650561,0.00170325888151115,1.94444444444e-05
6,25,500,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.0904032094927596,0.100334197980447,0.07,0.00116808697106823,0.00463023263739729,1.94444444444e-05,0.069113106463764,0.0328118959564139,0.07,0.0002606283677183,0.00107104480026716,1.94444444444e-05
6,36,500,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,94,0.0977519686132455,0.118873535622757,0.07,0.00097461481351674,0.00428507645730558,1.94444444444e-05,0.0965535871297503,0.115126268883695,0.07,0.000954641788791821,0.00425345493417019,1.94444444444e-05
6,49,500,436,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,87,0.0872947810794917,0.0925596131799768,0.07,0.000653460585042913,0.00345155122132274,1.94444444444e-05,0.0668142245706141,0.0145962629542223,0.07,1.94444598657437e-05,7.52773809002757e-11,1.94444444444e-05
