UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.149903441,0.186079929,0.07,0.005409933,0.009953237,1.94E-05,0.105634636,0.136736605,0.07,0.003177286,0.006987824,1.94E-05
2,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.169629395,0.203555495,0.07,0.006092417,0.011459164,1.94E-05,0.117866389,0.153374192,0.07,0.004027363,0.009849871,1.94E-05
3,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.089092528,0.096451758,0.07,0.002630559,0.004800928,1.94E-05,0.086526034,0.09767864,0.07,0.00247576,0.004788134,1.94E-05
4,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.100658025,0.123967662,0.07,0.003130986,0.004548574,1.94E-05,0.096439553,0.125401295,0.07,0.00279442,0.004489997,1.94E-05
5,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.138950753,0.168272522,0.07,0.003767842,0.007025877,1.94E-05,0.116446793,0.149771355,0.07,0.003098795,0.006742791,1.94E-05
6,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.103794075,0.132975326,0.07,0.002077159,0.004532198,1.94E-05,0.091282542,0.114232301,0.07,0.001567246,0.004039998,1.94E-05
7,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.140967181,0.175848946,0.07,0.005759747,0.00989228,0.003401736,0.127332908,0.165422277,0.07,0.004776339,0.008464626,0.00026551
8,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.109148455,0.135623936,0.07,0.00261252,0.004543852,1.94E-05,0.097516928,0.103945795,0.07,0.002317467,0.004043484,1.94E-05
9,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.141930164,0.18107293,0.07,0.005150175,0.008276223,0.00373328,0.125179323,0.172471266,0.07,0.004571262,0.008319527,6.11E-05
10,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.148798765,0.183352095,0.07,0.004906026,0.009273925,1.94E-05,0.14230412,0.181290333,0.07,0.004475415,0.009175465,1.94E-05
11,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.134707669,0.165205461,0.07,0.004214737,0.008503171,1.94E-05,0.106667143,0.127897476,0.07,0.003105813,0.007254929,1.94E-05
12,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.1425715,0.182443707,0.07,0.004573771,0.009431176,1.94E-05,0.11390027,0.141492051,0.07,0.003032244,0.006467991,1.94E-05
13,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.131027753,0.154333265,0.07,0.003685614,0.00736811,1.94E-05,0.108062532,0.135017769,0.07,0.002764888,0.005983371,1.94E-05
14,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.125500137,0.170027159,0.07,0.002632981,0.006149321,1.94E-05,0.122144334,0.165080836,0.07,0.002506786,0.006095068,1.94E-05
15,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.117962384,0.147019864,0.07,0.003647015,0.007944092,1.94E-05,0.095629065,0.1194024,0.07,0.002656082,0.006899738,1.94E-05
16,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.099465717,0.119223229,0.07,0.002248719,0.003968398,1.94E-05,0.093970176,0.120471745,0.07,0.001898943,0.003801426,1.94E-05
17,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.102774617,0.136385077,0.07,0.002473942,0.003438122,1.94E-05,0.089716042,0.092112117,0.07,0.002214776,0.003051584,1.94E-05
18,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.140530231,0.178079085,0.07,0.00414444,0.00792248,1.94E-05,0.11315149,0.150690532,0.07,0.003220679,0.007366021,1.94E-05
