UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.149903441477373,0.186079929209648,0.07,0.00540993295709359,0.00995323678167108,1.94444444444e-05,0.105634635756994,0.136736604730456,0.07,0.00317728584040821,0.00698782380528668,1.94444444444e-05
1,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.05,50,0.149903441477373,0.186079929209648,0.07,0.00540993295709359,0.00995323678167108,1.94444444444e-05,0.0421681667207811,0.0344333600741387,0.07,2.1389126109354e-05,1.19081488734403e-05,1.94444444444e-05
1,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.149903441477373,0.186079929209648,0.07,0.00540993295709359,0.00995323678167108,1.94444444444e-05,0.0421412243397331,0.0344663669618941,0.07,1.9444681664908e-05,3.09693472785233e-10,1.94444444444e-05
1,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,50,0.149903441477373,0.186079929209648,0.07,0.00540993295709359,0.00995323678167108,1.94444444444e-05,0.0421412243397331,0.0344663669618941,0.07,1.9444681664908e-05,3.09693472785233e-10,1.94444444444e-05
1,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,1,50,0.149903441477373,0.186079929209648,0.07,0.00540993295709359,0.00995323678167108,1.94444444444e-05,0.0421412243397331,0.0344663669618941,0.07,1.9444681664908e-05,3.09693472785233e-10,1.94444444444e-05
2,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.169629394972758,0.203555494856005,0.07,0.00609241705001718,0.0114591642391214,1.94444444444e-05,0.117866389195555,0.153374191887247,0.07,0.0040273632563878,0.00984987080467897,1.94444444444e-05
2,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.05,50,0.169629394972758,0.203555494856005,0.07,0.00609241705001718,0.0114591642391214,1.94444444444e-05,0.0437651650493438,0.0334033116618453,0.07,0.00034472550719504,0.00120748347505256,1.94444444444e-05
2,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.169629394972758,0.203555494856005,0.07,0.00609241705001718,0.0114591642391214,1.94444444444e-05,0.0403599949418132,0.0343659522185281,0.07,0.000107202378630496,0.000593290098878771,1.94444444444e-05
2,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,50,0.169629394972758,0.203555494856005,0.07,0.00609241705001718,0.0114591642391214,1.94444444444e-05,0.0393867120471704,0.0348874303313534,0.07,1.9444700609222e-05,3.37387998372836e-10,1.94444444444e-05
2,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,1,50,0.169629394972758,0.203555494856005,0.07,0.00609241705001718,0.0114591642391214,1.94444444444e-05,0.0393867120471704,0.0348874303313534,0.07,1.9444700609222e-05,3.37387998372836e-10,1.94444444444e-05
3,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.0890925284683673,0.0964517578823622,0.07,0.00263055880796878,0.00480092814888864,1.94444444444e-05,0.0865260343685686,0.0976786395718829,0.07,0.00247576043984074,0.00478813386115561,1.94444444444e-05
3,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.05,50,0.0890925284683673,0.0964517578823622,0.07,0.00263055880796878,0.00480092814888864,1.94444444444e-05,0.0447638981351246,0.0325660745196868,0.07,0.000227998254469408,0.000837855410431713,1.94444444444e-05
3,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,50,0.0890925284683673,0.0964517578823622,0.07,0.00263055880796878,0.00480092814888864,1.94444444444e-05,0.042200769818635,0.0343955391263764,0.07,2.5512118011422e-05,4.0946010331268e-05,1.94444444444e-05
3,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,50,0.0890925284683673,0.0964517578823622,0.07,0.00263055880796878,0.00480092814888864,1.94444444444e-05,0.0421310984782461,0.0344789117912033,0.07,1.9444707553542e-05,3.47267933889555e-10,1.94444444444e-05
3,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,1,50,0.0890925284683673,0.0964517578823622,0.07,0.00263055880796878,0.00480092814888864,1.94444444444e-05,0.0421310984782461,0.0344789117912033,0.07,1.9444707553542e-05,3.47267933889555e-10,1.94444444444e-05
4,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,50,0.100658025259942,0.123967661633012,0.07,0.00313098608093514,0.00454857363469671,1.94444444444e-05,0.0964395527089405,0.125401295242363,0.07,0.00279441951487137,0.00448999698860874,1.94444444444e-05
