UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,25,1000,314,20,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.41220111,0.247934615,0.012277536,0.010144728,0.049669947,0.143132042,0.001345625,0.004437601
2,25,1000,314,20,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.387578451,0.240997936,0.012731595,0.010854758,0.050780517,0.142579638,0.001575987,0.005542708
,,,,,,,,,,,,,,,0.399889781,0.244466276,0.012504565,0.010499743,0.050225232,0.14285584,0.001460806,0.004990154
1,25,1000,314,40,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.415374624,0.244863944,0.012728595,0.010087395,0.054451123,0.150708068,0.001517006,0.004872515
2,25,1000,314,40,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.402622584,0.249493173,0.0115252,0.009358823,0.035868384,0.126320208,0.000691477,0.002494857
,,,,,,,,,,,,,,,0.408998604,0.247178559,0.012126897,0.009723109,0.045159754,0.138514138,0.001104241,0.003683686
1,25,1000,314,60,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.386431312,0.242034163,0.011697744,0.010196735,0.059194913,0.157877169,0.002015441,0.006176546
2,25,1000,314,60,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.388557787,0.234655717,0.011594481,0.009736041,0.060580612,0.15662156,0.001541157,0.004621166
,,,,,,,,,,,,,,,0.38749455,0.23834494,0.011646112,0.009966388,0.059887762,0.157249364,0.001778299,0.005398856
1,25,1000,314,80,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.408659506,0.251183441,0.011602783,0.009294056,0.046549093,0.138466373,0.001368909,0.00473934
2,25,1000,314,80,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.398415361,0.257523411,0.010165641,0.008662865,0.070565171,0.182367606,0.001613137,0.00457981
,,,,,,,,,,,,,,,0.403537434,0.254353426,0.010884212,0.008978461,0.058557132,0.160416989,0.001491023,0.004659575
1,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,1,0.1,98,0.342485378,0.264750054,0.008953647,0.008638124,0.07116474,0.172330263,0.00175738,0.005309374
2,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,1,0.1,98,0.350253516,0.27523568,0.008996595,0.009347308,0.077225815,0.186641202,0.001850361,0.005242991
,,,,,,,,,,,,,,,0.346369447,0.269992867,0.008975121,0.008992716,0.074195277,0.179485732,0.00180387,0.005276182
