UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,25,1000,314,20,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.412201109976105,0.24793461501643,0.012277535883831,0.0101447282268946,0.0496699467933896,0.1431320418099,0.00134562486381667,0.00443760115863722
1,25,1000,314,40,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.415374623942626,0.244863943835343,0.0127285952695366,0.0100873948679844,0.0544511229603996,0.150708067985602,0.00151700551960568,0.00487251514388836
1,25,1000,314,60,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.386431312242603,0.242034163021352,0.0116977441452317,0.0101967345161821,0.0591949127818288,0.157877168571555,0.00201544140353675,0.00617654618480326
1,25,1000,314,80,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.408659505824606,0.251183440982783,0.0116027827080515,0.00929405590856731,0.0465490933858546,0.138466373119619,0.00136890945721286,0.00473933984848994
1,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,1,0.1,98,0.342485378224838,0.2647500540567,0.00895364722138618,0.00863812432006291,0.0711647397785779,0.172330262830463,0.00175738013642164,0.00530937355262615
2,25,1000,314,20,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.387578451204487,0.240997936144019,0.0127315946802464,0.0108547584347794,0.0507805165400434,0.142579637514532,0.00157598660225535,0.0055427078293775
2,25,1000,314,40,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.402622584286548,0.249493173308343,0.0115251996228277,0.00935882291411366,0.0358683844421854,0.126320208019887,0.00069147708510909,0.00249485657786427
2,25,1000,314,60,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.388557786803124,0.234655716747728,0.0115944807035009,0.00973604069221628,0.0605806119067957,0.156621559988376,0.00154115728902409,0.00462116643325428
2,25,1000,314,80,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.398415361411369,0.257523410895322,0.0101656412750844,0.00866286537400591,0.0705651711631762,0.182367605721959,0.00161313675020854,0.00457981028858708
2,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,1,0.1,98,0.350253515672413,0.275235679730658,0.00899659523854026,0.00934730769193827,0.077225815211954,0.186641201756383,0.00185036052962382,0.00524299062234437
