UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,25,1000,314,20,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.41220111,0.247934615,0.012277536,0.010144728,0.059870096,0.142611392,0.001864336,0.004710282
2,25,1000,314,20,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.387578451,0.240997936,0.012731595,0.010854758,0.0881299,0.181401217,0.003750548,0.009264496
,,,,,,,,,,,,,,,0.399889781,0.244466276,0.012504565,0.010499743,0.073999998,0.162006304,0.002807442,0.006987389
1,25,1000,314,40,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.433646048,0.266465998,0.012503796,0.00955935,0.084301115,0.188922582,0.003042448,0.007591024
2,25,1000,314,40,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.423980079,0.249692613,0.012636944,0.009424669,0.079778823,0.188938239,0.002052137,0.005321914
,,,,,,,,,,,,,,,0.428813064,0.258079305,0.01257037,0.00949201,0.082039969,0.18893041,0.002547292,0.006456469
1,25,1000,314,60,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.386228299,0.260936027,0.010602103,0.008797316,0.105842973,0.231649796,0.002948016,0.006758422
2,25,1000,314,60,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.379411157,0.250534777,0.010773334,0.008922712,0.078069068,0.181100312,0.002558287,0.006931916
,,,,,,,,,,,,,,,0.382819728,0.255735402,0.010687719,0.008860014,0.09195602,0.206375054,0.002753151,0.006845169
1,25,1000,314,80,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.374776693,0.242842435,0.009735019,0.009217518,0.052841846,0.144387935,0.001666571,0.005661233
2,25,1000,314,80,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.398963381,0.254412514,0.011217227,0.010772174,0.066694185,0.175911344,0.001933916,0.006082931
,,,,,,,,,,,,,,,0.386870037,0.248627475,0.010476123,0.009994846,0.059768016,0.16014964,0.001800243,0.005872082
1,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.370396469,0.27230327,0.008789122,0.009142516,0.115504783,0.214557709,0.002609522,0.005851235
2,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.333458298,0.248527129,0.008751943,0.008941322,0.063229852,0.147741345,0.001459479,0.004531701
,,,,,,,,,,,,,,,0.351927383,0.260415199,0.008770533,0.009041919,0.089367318,0.181149527,0.0020345,0.005191468
