UEIdx,lambdaBS,lambdaUE,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,25,250,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.4181208633347,0.226313239503865,0.0204501327449851,0.0140059528383969,0.00309252431217462,0.00193602271017022,0.000121707744187737,3.66128886284438e-05
1,25,500,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.430134326990648,0.232024563570489,0.0213595714826983,0.0149184732750008,0.00394568492176176,0.00788918396626438,0.000152542007453237,0.000294563756804725
1,25,750,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.441176152457348,0.242703087426659,0.0213981032537063,0.013850431076572,0.00554802108798413,0.0106332607637125,0.000313356755666806,0.000862588075530475
1,25,1000,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.42822396066001,0.237024044245085,0.0211740182080844,0.0152448135994273,0.0431439753254915,0.10546827278695,0.00227355388838058,0.00565830337212046
1,25,1500,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.419064881216976,0.233132870856055,0.0205191220202997,0.0144540830802944,0.2791631453726,0.248678526325999,0.0142120090961298,0.0145724602690971
1,25,2000,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.417785126516144,0.235220036818904,0.0201215541162165,0.0145604844007297,0.404178644486855,0.236862315641968,0.019636834440451,0.0147535982892115
2,25,250,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.420076005053068,0.230485822690247,0.0202191634015452,0.0144698140992998,0.00362089617163782,0.00433893576014412,0.000125076032725856,6.86944154229088e-05
2,25,500,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.435420354541031,0.241696747909043,0.0207250830352354,0.0149068915537582,0.00401481380989928,0.00658669068720725,0.000139305342988075,0.000225247389428389
2,25,750,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.416195897989707,0.233243318144661,0.0201768208894695,0.0147029298049296,0.00704784588898347,0.0135093924084727,0.000386331703997492,0.0010596680637487
2,25,1000,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.420371916286666,0.232747990494275,0.0200669199251321,0.0142094102459971,0.0460659730053302,0.116958617328479,0.00264609911949403,0.00714549081502947
2,25,1500,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.404406559253426,0.231721700242805,0.0197441147715522,0.0141941170403307,0.271640381681931,0.244392027295542,0.0138959357793708,0.0141420511132394
2,25,2000,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.437537176047989,0.254942291700387,0.020527140137424,0.0147754920290434,0.420289600914759,0.255749977630133,0.0198506538598253,0.0149502386979218
