UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.087335637,0.095179467,0.07,0.000739623,0.002626689,1.94E-05,0.061900424,0.02247531,0.07,1.94E-05,1.49E-10,1.94E-05
2,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.077220635,0.059967589,0.07,0.000577687,0.001960422,1.94E-05,0.061884714,0.022518712,0.07,1.94E-05,1.61E-10,1.94E-05
3,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.078155479,0.069024491,0.07,0.000503708,0.001842655,1.94E-05,0.061949229,0.022343475,0.07,1.94E-05,1.49E-10,1.94E-05
4,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.078416423,0.073700961,0.07,0.000589894,0.001702548,1.94E-05,0.058432766,0.026083741,0.07,1.94E-05,1.54E-10,1.94E-05
5,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.103169302,0.127351189,0.07,0.00093656,0.003257961,1.94E-05,0.060868781,0.023493097,0.07,1.94E-05,1.36E-10,1.94E-05
6,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.085050474,0.086876542,0.07,0.000678392,0.001922096,1.94E-05,0.059593321,0.024982346,0.07,1.94E-05,1.63E-10,1.94E-05
7,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.095153286,0.110353356,0.07,0.00142426,0.004649553,1.94E-05,0.058411579,0.026131224,0.07,1.94E-05,1.67E-10,1.94E-05
8,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.114296768,0.148979506,0.07,0.002019917,0.006212534,1.94E-05,0.060150053,0.02402169,0.07,1.94E-05,1.46E-10,1.94E-05
9,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.077729133,0.069028506,0.07,0.000643509,0.00180561,1.94E-05,0.0595669,0.025045475,0.07,1.94E-05,1.84E-10,1.94E-05
10,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.076913773,0.060981501,0.07,0.000699142,0.003284087,1.94E-05,0.061885617,0.022516153,0.07,1.94E-05,1.43E-10,1.94E-05
11,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.102500275,0.125766236,0.07,0.001169276,0.003093226,1.94E-05,0.059120336,0.026896338,0.07,6.38E-05,0.000343329,1.94E-05
12,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.087532672,0.09760152,0.07,0.001134044,0.004529473,1.94E-05,0.060724453,0.023847699,0.07,1.94E-05,1.63E-10,1.94E-05
13,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.069280031,0.002412934,0.07,0.00034624,0.000920234,1.94E-05,0.061885986,0.022515139,0.07,1.94E-05,1.44E-10,1.94E-05
14,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.112043223,0.141660851,0.07,0.001344088,0.00487413,1.94E-05,0.0619926,0.02222711,0.07,1.94E-05,1.29E-10,1.94E-05
15,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.102190774,0.125515672,0.07,0.001602413,0.005482362,1.94E-05,0.057216224,0.026977196,0.07,2.81E-05,6.67E-05,1.94E-05
16,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.092321868,0.123248228,0.07,0.000461977,0.00152278,1.94E-05,0.063953405,0.019254842,0.07,6.60E-05,0.000360427,1.94E-05
17,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.093776319,0.10714591,0.07,0.001307736,0.004893035,1.94E-05,0.061892513,0.022497039,0.07,1.97E-05,1.79E-06,1.94E-05
18,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.076482135,0.055952328,0.07,0.000871058,0.003250036,1.94E-05,0.059557586,0.025067707,0.07,1.94E-05,1.91E-10,1.94E-05
19,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.069279646,0.002842931,0.07,0.00025758,0.000804162,1.94E-05,0.064201549,0.019393582,0.07,1.94E-05,1.30E-10,1.94E-05
20,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.076397047,0.052234785,0.07,0.000508445,0.001465023,1.94E-05,0.069760335,0.05702192,0.07,0.000139668,0.000931244,1.94E-05
,,,,,,,,,,,,,,,0.087762245,0.086791225,0.07,0.000890777,0.003004931,1.94E-05,0.061247418,0.02526549,0.07,3.04E-05,8.52E-05,1.94E-05
