UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0776050198213458,0.0604339017705825,0.07,0.000312691356594392,0.00167271399067312,1.94444444444e-05,0.0665308282834528,0.0152494326871986,0.07,1.94444615276083e-05,7.86647049785434e-11,1.94444444444e-05
2,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0786466051517769,0.0727291264315192,0.07,0.000427549917233945,0.00194691493224862,1.94444444444e-05,0.0642124881392785,0.0193570594187326,0.07,1.94444764349133e-05,1.11277922413486e-10,1.94444444444e-05
3,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0699235928973861,0.0005918468719118,0.07,6.061080378011e-05,0.00031887324826239,1.94444444444e-05,0.0688418493138676,0.00897099663957952,0.07,1.9444450740655e-05,4.87705815171684e-11,1.94444444444e-05
4,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0759019694168572,0.0505257133441276,0.07,0.000227630983720698,0.000936771295544394,1.94444444444e-05,0.0653844622556786,0.0174157419813749,0.07,1.94444639812867e-05,7.76307013700519e-11,1.94444444444e-05
5,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0918565748373171,0.100456978304321,0.07,0.000547728547498913,0.00264450934362287,1.94444444444e-05,0.0654548248502194,0.0171568340595864,0.07,1.94444600461467e-05,7.02185376380249e-11,1.94444444444e-05
6,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0767358391862375,0.0535913345023499,0.07,0.000235481511885745,0.00110233439103791,1.94444444444e-05,0.0665363575217321,0.0152252690707997,0.07,1.94444603239133e-05,7.43630670197539e-11,1.94444444444e-05
7,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0684621705463722,0.00460549535184716,0.07,0.000267296340778603,0.00069528690004,1.94444444444e-05,0.0618940022519257,0.022492882114837,0.07,1.94444880551983e-05,1.21523092956774e-10,1.94444444444e-05
8,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0778834911663135,0.0637463175900724,0.07,0.00029437740197464,0.00151660341118297,1.94444444444e-05,0.0665308798322003,0.0152492593133938,0.07,1.94444623609433e-05,8.28407696090883e-11,1.94444444444e-05
9,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0783422846262999,0.0680518353558424,0.07,0.000409557592370133,0.00184079806852689,1.94444444444e-05,0.0642147376397142,0.0193495155896828,0.07,1.944447388863e-05,1.00913431589446e-10,1.94444444444e-05
10,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.069589829722317,0.00307867196128393,0.07,0.000161861191618492,0.000565745014875142,1.94444444444e-05,0.0653736781582315,0.0174562114481118,0.07,1.94444662960817e-05,8.36654486329664e-11,1.94444444444e-05
11,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0909734094651641,0.0939559031779303,0.07,0.000507158357229713,0.00205934720402688,1.94444444444e-05,0.0642672301740378,0.0191758848216488,0.07,1.94444650460983e-05,7.93276514871755e-11,1.94444444444e-05
12,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0690749821369037,0.00336278958048596,0.07,0.000186319962158758,0.000575694284155688,1.94444444444e-05,0.0642162227565342,0.0193445378970386,0.07,1.94444726386383e-05,9.62037231450842e-11,1.94444444444e-05
13,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0783345760504203,0.0695813231177102,0.07,0.000500981338082813,0.00265143845895778,1.94444444444e-05,0.0642124107735284,0.0193572515090218,0.07,1.94444737960367e-05,9.82902376311716e-11,1.94444444444e-05
14,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0754509787155865,0.0443623143154845,0.07,0.000176991194784762,0.000727509284028911,1.94444444444e-05,0.0665471552390988,0.0151783020691706,0.07,1.94444598146583e-05,7.67386606524516e-11,1.94444444444e-05
15,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0866993092692899,0.0925570881607082,0.07,0.000708625207253413,0.00356435060133266,1.94444444444e-05,0.0653757194049094,0.0174485071588901,0.07,1.94444651386933e-05,7.90901456957483e-11,1.94444444444e-05
16,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0895051459297872,0.107021985399599,0.07,0.000253778460590507,0.00115539605624798,1.94444444444e-05,0.0665877124801978,0.015000918170147,0.07,1.94444531017467e-05,4.7518931889204e-11,1.94444444444e-05
17,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0772812770048341,0.0579439826333139,0.07,0.000299623069213221,0.00189351181101432,1.94444444444e-05,0.0676864341147306,0.0125640876336204,0.07,1.94444556017267e-05,6.14914556855939e-11,1.94444444444e-05
18,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0688826592857057,0.00365177794641823,0.07,0.00027775083862151,0.000795763917825568,1.94444444444e-05,0.0630450383824253,0.0210409735251395,0.07,1.9444488286675e-05,1.34248365509523e-10,1.94444444444e-05
19,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.06976836031089,0.00275045623045763,0.07,0.000191687332065165,0.000674302852151659,1.94444444444e-05,0.065367290131142,0.0174802986155366,0.07,1.94444699534767e-05,9.67995562851795e-11,1.94444444444e-05
20,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.0878021169329054,0.0977771017690262,0.07,0.000704656561151392,0.00358487607533525,1.94444444444e-05,0.0653766910735899,0.0174449829829502,0.07,1.94444671757133e-05,8.97557060397814e-11,1.94444444444e-05
