UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,36,0.08476010735834,0.0891265474305361,0.07,0.000466418872502814,0.00190244731256401,1.94444444444e-05,0.0718159260432064,0.038258762109624,0.07,0.000156441449459758,0.000821981900569298,1.94444444444e-05
2,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,36,0.0966325016151506,0.114555298875619,0.07,0.0011567692448455,0.00387455870286356,1.94444444444e-05,0.0605436250740747,0.0238924068049232,0.07,2.51437677341055e-05,2.67957144187589e-05,1.94444444444e-05
3,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,36,0.084275753806783,0.0803202443604103,0.07,0.000618175659969503,0.00208605210539749,1.94444444444e-05,0.0605122737306724,0.0239757757290614,0.07,1.94444930551472e-05,1.44227214078086e-10,1.94444444444e-05
4,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,36,0.0925315466728608,0.101383851796304,0.07,0.000626616707797491,0.00178293242644168,1.94444444444e-05,0.0675460644385543,0.0509351318693656,0.07,2.65134010491889e-05,4.24133929647692e-05,1.94444444444e-05
5,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,36,0.111067790730389,0.139450284300934,0.07,0.00140536388972824,0.00462684980493615,1.94444444444e-05,0.0736351374572577,0.0727256245942959,0.07,0.000350794548478114,0.00198810038706107,1.94444444444e-05
6,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,36,0.110910720640813,0.143850701711746,0.07,0.000821042253441131,0.00218096146664285,1.94444444444e-05,0.0747499600440186,0.0767147808607013,0.07,0.000237801030644047,0.00125854456143069,1.94444444444e-05
7,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,36,0.096560695748464,0.112391350680113,0.07,0.00181833710113881,0.00547091920729051,1.94444444444e-05,0.0561757040455716,0.0278290958195067,0.07,8.93059198464e-05,0.000419168310987126,1.94444444444e-05
8,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,36,0.115576328884145,0.14984153443381,0.07,0.00127116342724674,0.00414418781254714,1.94444444444e-05,0.0786634459605278,0.0922589555506665,0.07,0.000298333385028711,0.00153949106275968,1.94444444444e-05
9,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,36,0.0690937101155049,0.0032962711864478,0.07,0.000270894846031192,0.000857939708318739,1.94444444444e-05,0.0659545388984836,0.0161603105459245,0.07,0.000116013423848436,0.000579413709282554,1.94444444444e-05
10,49,1000,436,300,0.02,0,0.05,0,0,0,400000000,10,0.1,36,0.084105634330828,0.0880014861855458,0.07,0.000702222503717754,0.00289631291255376,1.94444444444e-05,0.0624051162636145,0.0217931619038095,0.07,2.31760975876111e-05,1.82251553606416e-05,1.94444444444e-05
