UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
2,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0686347191446546,0.00452812433063639,0.07,0.000266206111005636,0.00081841586062641,1.94444444444e-05,0.0636719155815068,0.0209878816578363,0.07,1.94444893935727e-05,1.49079540573246e-10,1.94444444444e-05
3,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
4,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
5,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
6,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.119655951437908,0.164690159527651,0.07,0.00106026354064992,0.00345200641675052,1.94444444444e-05,0.0637313441790987,0.0207907792978071,0.07,1.94444611109636e-05,5.5276738126479e-11,1.94444444444e-05
7,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0695158625143256,0.00160570238692808,0.07,0.000252856722795209,0.000774140948751629,1.94444444444e-05,0.0636805564583265,0.0209592231115657,0.07,1.94444805552364e-05,1.19766095084085e-10,1.94444444444e-05
8,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
9,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0693999196503245,0.00199024136393908,0.07,0.000323465433972982,0.00100832355065887,1.94444444444e-05,0.0636696820085597,0.0209952895812438,0.07,1.94444924237909e-05,1.59129637315658e-10,1.94444444444e-05
10,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0692977667357989,0.00232904425266165,0.07,0.000214253264184891,0.000646107760931188,1.94444444444e-05,0.0636872736290838,0.0209369447765108,0.07,1.94444757572909e-05,1.03853110246575e-10,1.94444444444e-05
11,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0699640039439657,0.000119385411798473,0.07,0.000214536688357682,0.000647047772568853,1.94444444444e-05,0.0636931827191499,0.0209173465419092,0.07,1.94444724745182e-05,9.29653848381783e-11,1.94444444444e-05
12,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
13,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
14,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
15,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
16,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
17,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
18,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0682571394501106,0.00578041450589557,0.07,0.000181971018832173,0.000539039665706028,1.94444444444e-05,0.0636860804474365,0.0209409021123417,0.07,1.94444765148727e-05,1.06365724885457e-10,1.94444444444e-05
19,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
20,81,1000,245,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05,0.07,1.45551466458637e-17,0.07,1.94444444444e-05,3.55350259908781e-21,1.94444444444e-05
