UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.119273738607277,0.162426364245869,0.07,0.0032199237604031,0.00948530019820585,1.94444444444e-05,0.0639441260270607,0.0211030542988294,0.07,0.000345857773597446,0.00108259036801367,1.94444444444e-05
2,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.211524402342928,0.245460162927418,0.07,0.0103874136633521,0.0191007269172071,1.94444444444e-05,0.211524402342928,0.245460162927418,0.07,0.0103874136633521,0.0191007269172071,1.94444444444e-05
3,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0697892147519219,0.0025358420499345,0.07,0.00131663085270219,0.00225562023312845,1.94444444444e-05,0.0637404629598726,0.020528801923818,0.07,0.000904979689076618,0.0019750866737796,1.94444444444e-05
4,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.116600526514965,0.155569890277112,0.07,0.0034337858955688,0.00683657923679206,1.94444444444e-05,0.0635160092002789,0.0214895180467218,0.07,0.00136888079115714,0.00241469058450907,1.94444444444e-05
5,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.204197511181246,0.23183582351388,0.07,0.00607138973901626,0.0105183227986537,1.94444444444e-05,0.114970985183723,0.160335780181553,0.07,0.00232162367860985,0.00349534588551169,1.94444444444e-05
6,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0695359433677943,0.00153910173050223,0.07,0.000469977880419745,0.00149425036263983,1.94444444444e-05,0.0695359433677943,0.00153910173050223,0.07,0.000469977880419745,0.00149425036263983,1.94444444444e-05
7,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.16646709917996,0.210493050502138,0.0718786815735009,0.00827613909099391,0.0125196473105169,0.0042896324207374,0.106656700379413,0.163159579980079,0.07,0.00589142773455463,0.0121005417840536,0.000212823849055
8,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.111565151989379,0.14168733854377,0.07,0.00279644142759571,0.00515463989548224,1.94444444444e-05,0.111565151989379,0.14168733854377,0.07,0.00279644142759571,0.00515463989548224,1.94444444444e-05
9,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.119279693518768,0.158404513617417,0.07,0.00392156217289479,0.00662980229800753,1.94444444444e-05,0.054509876730196,0.0282539059949825,0.07,0.00121514729007021,0.00221151569222438,1.94444444444e-05
10,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.170603138428296,0.228017423917501,0.07,0.00401531720912012,0.00626181937068625,1.94444444444e-05,0.111380351623066,0.148204066208898,0.07,0.00235935631219939,0.00455602728357864,1.94444444444e-05
11,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.152753965291085,0.187466379231778,0.07,0.00496600277712436,0.00793068642294725,1.94444444444e-05,0.0546492395866824,0.027159068778504,0.07,0.00117863152129692,0.00203361862625373,1.94444444444e-05
12,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0695790254206296,0.00139621472604952,0.07,0.000273541372277064,0.000842744170002959,1.94444444444e-05,0.0637653967976475,0.0206778395389514,0.07,2.32323621208909e-05,1.25631016696752e-05,1.94444444444e-05
13,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.115332766402693,0.153730576213655,0.07,0.00118681142365764,0.00283889433997436,1.94444444444e-05,0.112948125417437,0.145823235684775,0.07,0.00114971700833144,0.00272701372477468,1.94444444444e-05
14,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.18303491026271,0.250529783059586,0.07,0.00223559228018084,0.00452344637804216,1.94444444444e-05,0.0595979629403541,0.0220470181593728,0.07,0.000547451953418618,0.00155237429828286,1.94444444444e-05
15,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0715086187842668,0.00457531239309213,0.07,0.00102204008348182,0.00225362348701469,1.94444444444e-05,0.0651050296551946,0.0217785736591524,0.07,0.000589797817269455,0.00187787024744953,1.94444444444e-05
16,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.117045955553478,0.155998332607898,0.07,0.00228749408517134,0.00515816687464631,1.94444444444e-05,0.0516667868221867,0.0314032528369773,0.07,4.63365988004727e-05,4.74851236104107e-05,1.94444444444e-05
17,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.115400605626797,0.148078198262862,0.07,0.00212347275559315,0.00444936781370932,1.94444444444e-05,0.057984337011027,0.0251899074022512,0.07,0.000276062982696036,0.000473642833456348,1.94444444444e-05
18,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.109156281059554,0.1315330037112,0.07,0.00287401050006246,0.00524819561241769,1.94444444444e-05,0.0632401629262575,0.0209877769958331,0.07,0.00130520979717485,0.00221555975171945,1.94444444444e-05
19,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.0722361717736838,0.00566919147464205,0.07,0.00260353104447536,0.00304859855712908,1.94444444444e-05,0.067673813126624,0.0145720705432,0.07,0.00228627075265693,0.00291067146869217,1.94444444444e-05
20,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,11,0.118868786308087,0.160783354530983,0.07,0.00507237986800614,0.0150852836605019,1.94444444444e-05,0.0647955248405833,0.0185988985307688,0.07,0.0005662747457142,0.00159061795235488,1.94444444444e-05
