UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.177473373136718,0.208950353503268,0.07,0.0066703143194021,0.0105267920699217,0.00170145406864465,0.177473373136718,0.208950353503268,0.07,0.0066703143194021,0.0105267920699217,0.00170145406864465
2,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.143195839860826,0.177022388249668,0.07,0.00459528307516565,0.00919328018608272,1.94444444444e-05,0.143195839860826,0.177022388249668,0.07,0.00459528307516565,0.00919328018608272,1.94444444444e-05
3,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.0975142656090382,0.109670267869808,0.07,0.00315483017824947,0.00688511764816311,1.94444444444e-05,0.0975142656090382,0.109670267869808,0.07,0.00315483017824947,0.00688511764816311,1.94444444444e-05
4,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.131669045341374,0.164503298196692,0.07,0.00512183862179787,0.00868983330105523,0.00395778751330645,0.131669045341374,0.164503298196692,0.07,0.00512183862179787,0.00868983330105523,0.00395778751330645
5,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.139506272319237,0.172335166918406,0.07,0.00537266669827013,0.0101469673306347,1.94444444444e-05,0.139506272319237,0.172335166918406,0.07,0.00537266669827013,0.0101469673306347,1.94444444444e-05
6,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.128326428243578,0.162263092381646,0.07,0.00440933837640634,0.00832786386318923,1.94444444444e-05,0.128326428243578,0.162263092381646,0.07,0.00440933837640634,0.00832786386318923,1.94444444444e-05
7,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.140278691113188,0.179638365520183,0.07,0.00541008478664852,0.009444652550342,0.0016654433301923,0.140278691113188,0.179638365520183,0.07,0.00541008478664852,0.009444652550342,0.0016654433301923
8,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.113240124782144,0.139611672181629,0.07,0.00402368256204431,0.00846487543281735,1.94444444444e-05,0.113240124782144,0.139611672181629,0.07,0.00402368256204431,0.00846487543281735,1.94444444444e-05
9,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.129537073145994,0.167665422461343,0.07,0.00444055272091893,0.00785729009743676,1.94444444444e-05,0.129537073145994,0.167665422461343,0.07,0.00444055272091893,0.00785729009743676,1.94444444444e-05
10,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.146619095076654,0.184560664043752,0.07,0.00457463481908472,0.00900826980680307,1.94444444444e-05,0.146619095076654,0.184560664043752,0.07,0.00457463481908472,0.00900826980680307,1.94444444444e-05
11,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.142379213485688,0.174019279329502,0.07,0.00470391862731857,0.00797139545424487,0.000383293605776,0.142379213485688,0.174019279329502,0.07,0.00470391862731857,0.00797139545424487,0.000383293605776
12,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.14504232257093,0.178472742734771,0.07,0.00496164006109517,0.0100231153770245,1.94444444444e-05,0.14504232257093,0.178472742734771,0.07,0.00496164006109517,0.0100231153770245,1.94444444444e-05
13,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.117322305423185,0.144637046791188,0.07,0.00338907848382916,0.00643887006936576,1.94444444444e-05,0.117322305423185,0.144637046791188,0.07,0.00338907848382916,0.00643887006936576,1.94444444444e-05
14,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.149018667340507,0.189532487932497,0.07,0.00450953664978575,0.00856548867686605,1.94444444444e-05,0.149018667340507,0.189532487932497,0.07,0.00450953664978575,0.00856548867686605,1.94444444444e-05
15,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.145395250340096,0.181512678857329,0.07,0.00532175949977458,0.00974123568844169,1.94444444444e-05,0.145395250340096,0.181512678857329,0.07,0.00532175949977458,0.00974123568844169,1.94444444444e-05
16,25,1000,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,80,0.120326933869085,0.153023610634532,0.07,0.00328255324085026,0.0066964441466435,1.94444444444e-05,0.120326933869085,0.153023610634532,0.07,0.00328255324085026,0.0066964441466435,1.94444444444e-05
