UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.162955133170426,0.1980855747957,0.07,0.00612792782713413,0.00979487270561371,0.0033834636928449,0.162955133170426,0.1980855747957,0.07,0.00612792782713413,0.00979487270561371,0.0033834636928449
2,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.149722362085986,0.184144157857549,0.07,0.00528919905765975,0.0103485765915457,1.94444444444e-05,0.149722362085986,0.184144157857549,0.07,0.00528919905765975,0.0103485765915457,1.94444444444e-05
3,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.103321927229268,0.123671697438383,0.07,0.00334850445635444,0.00664643820147901,1.94444444444e-05,0.103321927229268,0.123671697438383,0.07,0.00334850445635444,0.00664643820147901,1.94444444444e-05
4,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.120204810968748,0.149598297535382,0.07,0.0045985440617208,0.00798184519846586,0.0035987317276165,0.120204810968748,0.149598297535382,0.07,0.0045985440617208,0.00798184519846586,0.0035987317276165
5,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.131335279170998,0.163862485749844,0.07,0.00495471785526309,0.00968237352387517,1.94444444444e-05,0.131335279170998,0.163862485749844,0.07,0.00495471785526309,0.00968237352387517,1.94444444444e-05
6,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.13362025269364,0.170771070373356,0.07,0.00477247742363414,0.00876043458736364,1.94444444444e-05,0.13362025269364,0.170771070373356,0.07,0.00477247742363414,0.00876043458736364,1.94444444444e-05
7,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.126758939009688,0.163686633757772,0.07,0.00501139818710187,0.00860025808566059,0.0036304464850863,0.126758939009688,0.163686633757772,0.07,0.00501139818710187,0.00860025808566059,0.0036304464850863
8,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.11959566749019,0.147706364786118,0.07,0.00455478413492489,0.00926923905947601,1.94444444444e-05,0.11959566749019,0.147706364786118,0.07,0.00455478413492489,0.00926923905947601,1.94444444444e-05
9,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.138073218011814,0.175683704996791,0.07,0.00475689216655066,0.00816997814324228,1.94444444444e-05,0.138073218011814,0.175683704996791,0.07,0.00475689216655066,0.00816997814324228,1.94444444444e-05
10,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.153161510519622,0.19008116414869,0.07,0.0050674739516654,0.00942672061150573,1.94444444444e-05,0.153161510519622,0.19008116414869,0.07,0.0050674739516654,0.00942672061150573,1.94444444444e-05
11,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.133475560578129,0.164858522639878,0.07,0.00432070637564368,0.00790477041934038,1.94444444444e-05,0.133475560578129,0.164858522639878,0.07,0.00432070637564368,0.00790477041934038,1.94444444444e-05
12,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.155157199130812,0.18741508852752,0.07,0.00565170085753436,0.0103532261291645,1.94444444444e-05,0.155157199130812,0.18741508852752,0.07,0.00565170085753436,0.0103532261291645,1.94444444444e-05
13,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.112744458577012,0.13756850363638,0.07,0.00323802563474344,0.00623253306675748,1.94444444444e-05,0.112744458577012,0.13756850363638,0.07,0.00323802563474344,0.00623253306675748,1.94444444444e-05
14,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.13924211465811,0.178139922764167,0.07,0.00456791236774987,0.00851606963774533,1.94444444444e-05,0.13924211465811,0.178139922764167,0.07,0.00456791236774987,0.00851606963774533,1.94444444444e-05
15,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.13598752632811,0.170443179747594,0.07,0.00488516220832251,0.0089615529212732,1.94444444444e-05,0.13598752632811,0.170443179747594,0.07,0.00488516220832251,0.0089615529212732,1.94444444444e-05
16,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.128429206715226,0.160067907382567,0.07,0.00402035711966052,0.00798645853758983,1.94444444444e-05,0.128429206715226,0.160067907382567,0.07,0.00402035711966052,0.00798645853758983,1.94444444444e-05
17,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.0982626464410999,0.121260314153124,0.07,0.00288765040752211,0.00359145135695895,0.0006177031103514,0.0982626464410999,0.121260314153124,0.07,0.00288765040752211,0.00359145135695895,0.0006177031103514
18,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.130579138201238,0.165277428986851,0.07,0.00408202615483595,0.00742633167185636,1.94444444444e-05,0.130579138201238,0.165277428986851,0.07,0.00408202615483595,0.00742633167185636,1.94444444444e-05
