UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.176017430034907,0.208232902590574,0.07,0.0064169761641951,0.0103623506846975,1.94444444444e-05,0.0363997218034498,0.0349874382077822,0.07,2.49552932781452e-05,2.55342910912506e-05,1.94444444444e-05
2,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.155506726275474,0.187662164691293,0.07,0.00548714540292557,0.0108093771914072,1.94444444444e-05,0.0397802467277317,0.0346911899841383,0.07,2.57139183101919e-05,3.77569043821176e-05,1.94444444444e-05
3,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.0990198577541442,0.114085676586765,0.07,0.0031534202638502,0.00572620501368209,1.94444444444e-05,0.0410965439335691,0.0343224278939363,0.07,2.95422663074548e-05,4.39891389428491e-05,1.94444444444e-05
4,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.141797138547625,0.177183421075027,0.07,0.00566589238443595,0.00952929984655797,0.004130109085578,0.0291723962713889,0.0342563423862262,0.0005951169184766,6.49616604257629e-05,0.000331777236113123,1.944482777515e-05
5,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.151395761565996,0.186104396564857,0.07,0.00610129937711917,0.0112361289277843,1.94444444444e-05,0.0377010027054632,0.0347657461246004,0.07,4.17106004625161e-05,0.000122953246927051,1.94444444444e-05
6,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.129041216225007,0.163841928806749,0.07,0.00458576423636038,0.00884529292582248,1.94444444444e-05,0.0397082450279276,0.0347713104996749,0.07,2.11434108478419e-05,8.90496741776589e-06,1.94444444444e-05
7,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.153163198837642,0.192761899577071,0.07,0.00589326915390523,0.00914553669138378,0.00384970044960015,0.0318722636290655,0.0348840855282335,0.00095029421567125,2.43447307331968e-05,2.14601093693859e-05,1.944475971995e-05
8,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.118857216731423,0.14874195303708,0.07,0.00452535364440235,0.00921346910419795,1.94444444444e-05,0.036623245926636,0.0347765393264421,0.07,4.38603401280258e-05,0.000118666892350703,1.94444444444e-05
9,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.136361507722029,0.173458967515129,0.07,0.0049374703763432,0.00854239367465394,1.94444444444e-05,0.037437763332487,0.0350191226781298,0.07,2.07888265210935e-05,4.84390654368113e-06,1.94444444444e-05
10,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.146213432693389,0.186010560849188,0.07,0.00430416261754938,0.00823445752071477,1.94444444444e-05,0.042047052342742,0.034287978895965,0.07,2.30993532024177e-05,2.32585640382234e-05,1.94444444444e-05
11,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.14628294901449,0.176231906416299,0.07,0.00456104701209658,0.00697822725995055,0.00156422744602055,0.0352504669600137,0.0350345175354445,0.0361666714999618,2.11292774269903e-05,6.99598675688665e-06,1.94444847219e-05
12,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.1594962694151,0.192870695455232,0.07,0.00597269535866279,0.0110794770848029,1.94444444444e-05,0.0408467714871435,0.0345857578526456,0.07,2.23399732486597e-05,1.61963731054372e-05,1.94444444444e-05
13,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.123200669295269,0.153040639953549,0.07,0.00322569691118555,0.00663310252067035,1.94444444444e-05,0.0432671123987527,0.0339215858861395,0.07,2.81812163514661e-05,4.75329444759793e-05,1.94444444444e-05
