UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,99,0.163018930128325,0.198034897332452,0.07,0.0061134550102634,0.00978002695375239,0.0033779258013291,0.12323992619555,0.156596350250401,0.07,0.00426721699627748,0.00766240575986187,3.33341805494e-05
2,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,99,0.150166808088682,0.185533332172077,0.07,0.00529965483307831,0.0103747445286414,1.94444444444e-05,0.116837449917763,0.143416284927564,0.07,0.00393700968551372,0.00903513234499934,1.94444444444e-05
3,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,99,0.10153262157168,0.117147389973937,0.07,0.00336994749893519,0.00678220464555789,1.94444444444e-05,0.0927626419050103,0.104215479326217,0.07,0.00285241154207381,0.00593059198796082,1.94444444444e-05
4,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,99,0.121463447582316,0.153304046113141,0.07,0.00469284208676428,0.00814473103428607,0.0035554240305495,0.106991880414023,0.138126828068438,0.07,0.00404972171838105,0.00762319100023602,0.0023063015467383
5,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,99,0.130109749972125,0.161052162794372,0.07,0.00479903872178647,0.00945237392540354,1.94444444444e-05,0.10926094276885,0.139216807500691,0.07,0.00383558714808141,0.00830239061406683,1.94444444444e-05
6,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,99,0.133711447469891,0.17056036360664,0.07,0.00479011737883558,0.00886563854723145,1.94444444444e-05,0.112151566307867,0.138765443697569,0.07,0.0038114718044164,0.0075302605997157,1.94444444444e-05
7,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,99,0.127453772380419,0.16184312082099,0.07,0.00509527595073324,0.00860461194045045,0.0035451801513206,0.118509509197643,0.155092550750264,0.07,0.00447614570042906,0.00777014095197183,0.000327064771255
8,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,99,0.119122907561192,0.146164179127205,0.07,0.00435232995167675,0.00873790410051616,1.94444444444e-05,0.110165945594639,0.132620702895546,0.07,0.00403662766754864,0.00852633043685712,1.94444444444e-05
9,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,99,0.135899910450903,0.170712602185073,0.07,0.00462859216501742,0.00806634514767651,1.94444444444e-05,0.119170281975798,0.160299348923793,0.07,0.00402373251760824,0.00787978555140661,1.94444444444e-05
10,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0,99,0.149748769998734,0.183830864365782,0.07,0.00513438924886321,0.00973511262460331,1.94444444444e-05,0.141575385558639,0.174958258206659,0.07,0.00470261063066642,0.00936895459408871,1.94444444444e-05
