UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.148609478515948,0.185523903913056,0.07,0.0053077980324918,0.00872593399674786,1.94444444444e-05,0.0364157992448233,0.0349980926187609,0.07,1.94447464683659e-05,3.44990988753102e-10,1.94444444444e-05
2,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.14086340722106,0.176968342634731,0.07,0.00497732748571049,0.0102061186728926,1.94444444444e-05,0.0421524821148255,0.0343087587742366,0.07,1.94446907824659e-05,3.3536015060384e-10,1.94444444444e-05
3,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.0933180874056995,0.104486739420947,0.07,0.00318332620143081,0.00684725008396009,1.94444444444e-05,0.0429410022821881,0.0341685859344645,0.07,1.94447146058082e-05,3.58429409715383e-10,1.94444444444e-05
4,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.112135664735515,0.140221341955872,0.07,0.00413786407189534,0.00741524361895112,0.002548084524294,0.0339447173568789,0.0350113498400374,0.0011475508196069,1.94447872523365e-05,3.62528952621015e-10,1.944461111e-05
5,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.134079552783482,0.165791986016091,0.07,0.004785454886432,0.00958903260597292,1.94444444444e-05,0.0390122311453538,0.0346887334200132,0.07,1.94447120568318e-05,3.33266017099222e-10,1.94444444444e-05
6,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.125781528102392,0.161633110350415,0.07,0.00409998285719803,0.00858988166360433,1.94444444444e-05,0.0421631574938315,0.0342961031933243,0.07,1.94446973510388e-05,3.41261142935966e-10,1.94444444444e-05
7,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.131329111660031,0.167688918827745,0.07,0.00511606852728241,0.00865604482321091,0.0034190438447204,0.0339361947634525,0.0350194685733727,0.0008860858227148,1.94447940497012e-05,3.70159396214621e-10,1.94446611096e-05
8,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.116323119707851,0.144509359992097,0.07,0.00391460722583686,0.00778404191756075,1.94444444444e-05,0.0389347424154197,0.0347567641771564,0.07,1.94447242789365e-05,3.53964186027459e-10,1.94444444444e-05
9,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.134630918877302,0.16900542130284,0.07,0.0043383064660581,0.00725226963596223,1.94444444444e-05,0.036442293651705,0.0349707327935163,0.07,1.94447274488565e-05,3.31911254137373e-10,1.94444444444e-05
10,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.156595860044463,0.189748704611499,0.07,0.00519216564294571,0.00944392782940722,1.94444444444e-05,0.0381449992747508,0.0348042228201721,0.07,1.96081005536494e-05,1.50652475790373e-06,1.94444444444e-05
11,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.131856450585356,0.162816538698497,0.07,0.0039489092001183,0.00757018866905168,1.94444444444e-05,0.0397494620820896,0.0346611532285675,0.07,1.94446851942671e-05,3.09977819385e-10,1.94444444444e-05
12,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.159466325949181,0.194821666902187,0.07,0.00526067543221532,0.00927446908030092,1.94444444444e-05,0.0421642127849453,0.0342943996554911,0.07,1.94446789851541e-05,3.23113298056522e-10,1.94444444444e-05
13,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.111737319554398,0.133720015414652,0.07,0.00302235985444328,0.00620299429374221,1.94444444444e-05,0.0430431524054794,0.0340418356666022,0.07,1.94446679721576e-05,3.24086397225057e-10,1.94444444444e-05
14,25,500,981,300,0.02,0,0.05,0,0,0,400000000,10,0.5,85,0.141864095919525,0.18015077805246,0.07,0.00414931949949479,0.00764265644349418,1.94444444444e-05,0.0405658788231352,0.0345460274315613,0.07,1.944470532484e-05,3.50056006176699e-10,1.94444444444e-05
