UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,100,0.110983136332115,0.138040631281281,0.07,0.00199655484543277,0.0065166278080824,1.94444444444e-05,0.0617021039966684,0.0225860258444671,0.07,2.0972268388504e-05,1.52778222167911e-05,1.94444444444e-05
2,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.0882197978277386,0.0959555863443551,0.07,0.000828564016863434,0.00415845588965271,1.94444444444e-05,0.0666922880986281,0.0148813979550338,0.07,1.94444621030048e-05,8.08212850953611e-11,1.94444444444e-05
3,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.102228168939217,0.120101743591317,0.07,0.00152323588041594,0.00525947341761335,1.94444444444e-05,0.0630490056826428,0.0210289870639507,0.07,1.94444858329933e-05,1.2887111016173e-10,1.94444444444e-05
4,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,49,0.11782202377769,0.14653136622404,0.07,0.00201998604786348,0.0062531868947352,1.94444444444e-05,0.0587544054717152,0.0257265424431757,0.07,1.94444924599347e-05,1.25701863347094e-10,1.94444444444e-05
5,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.0856557662135567,0.0871676171966396,0.07,0.00068560979257267,0.00370905168506084,1.94444444444e-05,0.0677587870317741,0.0124785456940006,0.07,1.9444456361871e-05,6.6353670149189e-11,1.94444444444e-05
6,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,25,0.0917654820576898,0.108827410288449,0.07,0.00136976817983956,0.00675161867697582,1.94444444444e-05,0.067214141812118,0.0139292909394102,0.07,1.9444466333112e-05,1.09443560000099e-10,1.94444444444e-05
7,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,16,0.0688970594393377,0.00441176224264948,0.07,8.00347338541126e-05,0.00024236115763885,1.94444444444e-05,0.0656893388510978,0.017242644595609,0.07,1.944445607625e-05,4.65274000001971e-11,1.94444444444e-05
8,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,10,0.124023213619558,0.177895102791217,0.07,0.00194503534852292,0.00566368792992686,1.94444444444e-05,0.0561448862212589,0.0292091521590724,0.07,1.944449777734e-05,1.12709878633156e-10,1.94444444444e-05
9,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,5,0.07,0,0.07,1.94444444444e-05,0,1.94444444444e-05,0.07,0,0.07,1.94444444444e-05,0,1.94444444444e-05
10,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,4,0.07,0,0.07,1.94444444444e-05,0,1.94444444444e-05,0.07,0,0.07,1.94444444444e-05,0,1.94444444444e-05
11,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,3,0.07,0,0.07,1.94444444444e-05,0,1.94444444444e-05,0.07,0,0.07,1.94444444444e-05,0,1.94444444444e-05
12,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,2,0.07,0,0.07,1.94444444444e-05,0,1.94444444444e-05,0.07,0,0.07,1.94444444444e-05,0,1.94444444444e-05
13,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,1,0.07,0,0.07,1.94444444444e-05,0,1.94444444444e-05,0.07,0,0.07,1.94444444444e-05,0,1.94444444444e-05
