UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,59,0.0976229775990002,0.120834493685551,0.07,0.00133697385639071,0.00587618949794485,1.94444444444e-05,0.066465745799613,0.0154008382824383,0.07,1.94444662427322e-05,9.86084468357323e-11,1.94444444444e-05
2,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,59,0.0961852065732421,0.115272484652505,0.07,0.000984860090680552,0.00440544651006105,1.94444444444e-05,0.0653055486620088,0.0175573000928472,0.07,1.94444662427373e-05,8.70658450590046e-11,1.94444444444e-05
3,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,59,0.116416809936711,0.155962604778914,0.07,0.00183931663769726,0.00631241547057183,1.94444444444e-05,0.0629678944093323,0.0210815730805504,0.07,1.94444838038169e-05,1.28527561008648e-10,1.94444444444e-05
4,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,59,0.113680621629928,0.140804837819131,0.07,0.00178730574065675,0.00546106764489503,1.94444444444e-05,0.0605985424461273,0.0239415818586462,0.07,1.94444927020424e-05,1.35790976694533e-10,1.94444444444e-05
5,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,59,0.119899312331757,0.151496011258311,0.07,0.00248462515541057,0.00732992929876897,1.94444444444e-05,0.0605974571565613,0.0239447313234304,0.07,1.94444952914898e-05,1.36163140822088e-10,1.94444444444e-05
6,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,59,0.0798059069392062,0.0743147153658352,0.07,0.000587958947902715,0.00401707864803834,1.94444444444e-05,0.0676431742339137,0.0126900150723685,0.07,1.94444585685932e-05,7.68917999180984e-11,1.94444444444e-05
7,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,59,0.0954643580041146,0.112354980971099,0.07,0.00107701837195801,0.00443704532683925,1.94444444444e-05,0.0641205271795815,0.0194878283692373,0.07,1.94444722219678e-05,9.45493175198888e-11,1.94444444444e-05
8,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,59,0.12440570496358,0.162208484566541,0.07,0.00202593341623116,0.00637556359234594,1.94444444444e-05,0.0617935917696145,0.0225597864014469,0.07,1.94444811673034e-05,1.10555859384966e-10,1.94444444444e-05
9,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,59,0.116574025893882,0.154972537555708,0.07,0.00195093618630038,0.00712859712413502,1.94444444444e-05,0.0641354662335752,0.0194391002127674,0.07,1.94444765063102e-05,1.20428884777935e-10,1.94444444444e-05
10,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,59,0.120125334269782,0.151244910891685,0.07,0.00264470570760843,0.00784978037924694,1.94444444444e-05,0.0599914051927444,0.0241721757343886,0.07,1.94444993875305e-05,1.47465064025438e-10,1.94444444444e-05
