UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.114708801886637,0.139016431115244,0.07,0.00170527574864093,0.00556095171560918,1.94444444444e-05,0.0632897249620517,0.020839193442727,0.07,1.94444758958e-05,1.03982192316915e-10,1.94444444444e-05
2,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.136342226763103,0.175394314641281,0.07,0.00224644224223914,0.0066826328557623,1.94444444444e-05,0.0610884694951938,0.0235366037506715,0.07,1.94444825265419e-05,1.15103718448017e-10,1.94444444444e-05
3,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.134286143409791,0.170736290624491,0.07,0.00311603976521495,0.0082416254067441,1.94444444444e-05,0.0610278374414504,0.0236956949600161,0.07,1.94444990139032e-05,1.45761370872286e-10,1.94444444444e-05
4,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.137389194512997,0.17861041163499,0.07,0.00327668406804219,0.00901357205225865,1.94444444444e-05,0.0610314000596029,0.0236863248556888,0.07,1.94444983866613e-05,1.47070432214836e-10,1.94444444444e-05
5,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.0993590036491263,0.113732095682748,0.07,0.000803632233346177,0.00307603132225195,1.94444444444e-05,0.0655396590812092,0.0172652786789093,0.07,1.94444593188323e-05,5.87088472697827e-11,1.94444444444e-05
6,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.102837679016438,0.127609845180771,0.07,0.00207343328144601,0.00797821280106036,1.94444444444e-05,0.065506680923937,0.0173928791865209,0.07,1.94444797487968e-05,1.36659238850992e-10,1.94444444444e-05
7,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.120773920195498,0.158008615524664,0.07,0.00144601354515613,0.00463093121307705,1.94444444444e-05,0.063309577841859,0.0207776396869637,0.07,1.94444682793516e-05,7.78227442921496e-11,1.94444444444e-05
8,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.102676926657493,0.126682880100197,0.07,0.000549034916047152,0.00204995690140982,1.94444444444e-05,0.0655717705592078,0.0171409367028148,0.07,1.94444534945097e-05,3.50773029503669e-11,1.94444444444e-05
9,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.106922690331356,0.143548348882006,0.07,0.000930568904517892,0.00460072213202762,1.94444444444e-05,0.0656596366829089,0.01681108451815,0.07,1.94444594980548e-05,7.73852821686178e-11,1.94444444444e-05
10,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.0877513383117471,0.0988352688446848,0.07,0.000708029968372323,0.00383388194088653,1.94444444444e-05,0.0677601460015584,0.0124709792704655,0.07,1.94444554658226e-05,6.1364683872213e-11,1.94444444444e-05
11,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.086552987163925,0.0921631320296843,0.07,0.000729456934436406,0.0039531822389417,1.94444444444e-05,0.0677585392196372,0.0124799254535853,0.07,1.94444565410903e-05,6.73515212864356e-11,1.94444444444e-05
12,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.116405909279406,0.145052449881169,0.07,0.0018574930218731,0.00627047418138642,1.94444444444e-05,0.0632922369415501,0.0208315371469469,0.07,1.94444770606419e-05,1.08728193434113e-10,1.94444444444e-05
13,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.104476756490894,0.133675663108116,0.07,0.0010055352052838,0.00424563825759984,1.94444444444e-05,0.0655489746046024,0.017229675923562,0.07,1.94444610213355e-05,7.26494855469955e-11,1.94444444444e-05
14,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.07,1.4107188271233e-17,0.07,1.94444444444e-05,6.888275523063e-21,1.94444444444e-05,0.07,1.4107188271233e-17,0.07,1.94444444444e-05,6.888275523063e-21,1.94444444444e-05
15,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.07,1.4107188271233e-17,0.07,1.94444444444e-05,6.888275523063e-21,1.94444444444e-05,0.07,1.4107188271233e-17,0.07,1.94444444444e-05,6.888275523063e-21,1.94444444444e-05
16,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.102162153188214,0.124822414797582,0.07,0.00124987570378164,0.00478193169734281,1.94444444444e-05,0.0655217127985592,0.0173347077333711,0.07,1.94444661288161e-05,8.49237107322725e-11,1.94444444444e-05
17,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.136907330420097,0.176991456047239,0.07,0.00324798297194051,0.00900697096324352,1.94444444444e-05,0.0761484380508549,0.0758007271646408,0.07,0.000783441587583412,0.00425375584931967,1.94444444444e-05
18,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.103532665730747,0.129833210561391,0.07,0.0015347859171548,0.0059471065309339,1.94444444444e-05,0.0655162904806819,0.0173556980188764,0.07,1.94444700714387e-05,1.00935442255242e-10,1.94444444444e-05
19,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.100011095486514,0.11617202184778,0.07,0.000807430622492825,0.00324580121236047,1.94444444444e-05,0.0655466378851244,0.0172384465434824,0.07,1.94444590500193e-05,6.03652206623105e-11,1.94444444444e-05
20,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.137432853344256,0.178124809583102,0.07,0.00250801784437342,0.00669770303793109,1.94444444444e-05,0.0610470114721893,0.0236450704288395,0.07,1.94444860211516e-05,1.11596446967628e-10,1.94444444444e-05
21,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.102265745135648,0.125272831315632,0.07,0.000766644452426138,0.00305101916421188,1.94444444444e-05,0.0655512904899195,0.0172203502852711,0.07,1.94444571683258e-05,5.11025762168771e-11,1.94444444444e-05
22,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.101424250162115,0.12201790784267,0.07,0.00164809402981105,0.00633250990597107,1.94444444444e-05,0.0655119390046599,0.0173725350550684,0.07,1.9444473834871e-05,1.15283705059245e-10,1.94444444444e-05
23,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.115961923301442,0.145123891016932,0.07,0.00175807138931174,0.00612025761061067,1.94444444444e-05,0.0633081954610716,0.0207823958336209,0.07,1.94444741933032e-05,1.01549025458177e-10,1.94444444444e-05
24,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.08486668580955,0.0827742034438033,0.07,0.000394610336447877,0.0020888352836463,1.94444444444e-05,0.0677705188975065,0.0124132254300663,0.07,1.94444514335903e-05,3.89141648031655e-11,1.94444444444e-05
25,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.103447057165411,0.129501857470226,0.07,0.00164132276434003,0.0063625652422634,1.94444444444e-05,0.0655138813837826,0.0173650155646015,0.07,1.94444717739581e-05,1.06906038711086e-10,1.94444444444e-05
26,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,31,0.07,1.4107188271233e-17,0.07,1.94444444444e-05,6.888275523063e-21,1.94444444444e-05,0.07,1.4107188271233e-17,0.07,1.94444444444e-05,6.888275523063e-21,1.94444444444e-05
