UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,118,0.488478952556824,0.215800715157636,0.593445719434411,0.0211356036022437,0.0118659335009249,0.0224023305519373,0,0,0,0,0,0
2,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,118,0.488023829627619,0.215857306668175,0.594550474516847,0.0207687923906992,0.0124352655448992,0.0234568954017575,0,0,0,0,0,0
3,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,118,0.487023310203843,0.216339384715724,0.593335510282466,0.0201037915054676,0.0124916452611769,0.0222971335311771,0,0,0,0,0,0
4,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,118,0.488714704230957,0.216935790644472,0.594555716214381,0.0216629693735912,0.0125914430573565,0.0234618895329921,0,0,0,0,0,0
5,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,118,0.488572576882517,0.216931808688894,0.595356361281149,0.021528112421842,0.0127098090194786,0.0242261060076416,0,0,0,0,0,0
6,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,118,0.487415260061622,0.216152418436649,0.592519760801802,0.0203579410323696,0.0125037998679646,0.0215183832024882,0,0,0,0,0,0
7,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,118,0.488932225211481,0.216949558022996,0.595021497959669,0.0218345116761143,0.0124337049153727,0.0239064833845853,0,0,0,0,0,0
8,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.597556759001387,0.00955534199026161,0.597580687399442,0.026322644387492,0.00912016522288276,0.0263489240466167,0,0,0,0,0,0
9,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.596638235358383,0.0100105246852722,0.599345226121235,0.025445763287742,0.00955681548938694,0.0280326756845852,0,0,0,0,0,0
10,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.593712184929632,0.009536347801581,0.594323915015353,0.0226532936255887,0.00910402691504846,0.0232406019800211,0,0,0,0,0,0
11,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.59596120074303,0.0112469574884111,0.599413590546545,0.0247986191600099,0.0107362543218203,0.028097905022354,0,0,0,0,0,0
12,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.597931977663118,0.00925563935956021,0.599921887138055,0.026680925195696,0.00883536952028047,0.0285828161548076,0,0,0,0,0,0
13,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.598564169307562,0.00942333713047142,0.600980879714641,0.0272840508755123,0.00899415244601287,0.0295932111060574,0,0,0,0,0,0
