UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.595715132,0.009836422,0.598088057,0.024564884,0.009389333,0.026833094,0,0,0,0,0,0
2,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.596134711,0.009755988,0.596560438,0.024965392,0.009312412,0.025375287,0,0,0,0,0,0
3,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.59857377,0.010636785,0.600790813,0.027292292,0.010152624,0.029411885,0,0,0,0,0,0
4,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.597288366,0.00962897,0.598220692,0.026066467,0.009190495,0.02695966,0,0,0,0,0,0
5,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.59719856,0.008156535,0.598303657,0.025981755,0.007785229,0.027038804,0,0,0,0,0,0
6,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.597204196,0.010067204,0.600339686,0.025985823,0.009609639,0.02898142,0,0,0,0,0,0
7,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.59727839,0.00891164,0.597945033,0.026057453,0.00850637,0.026696523,0,0,0,0,0,0
8,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.597556759,0.009555342,0.597580687,0.026322644,0.009120165,0.026348924,0,0,0,0,0,0
9,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.596638235,0.010010525,0.599345226,0.025445763,0.009556815,0.028032676,0,0,0,0,0,0
10,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.593712185,0.009536348,0.594323915,0.022653294,0.009104027,0.023240602,0,0,0,0,0,0
11,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.595961201,0.011246957,0.599413591,0.024798619,0.010736254,0.028097905,0,0,0,0,0,0
12,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.597931978,0.009255639,0.599921887,0.026680925,0.00883537,0.028582816,0,0,0,0,0,0
13,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.598564169,0.009423337,0.60098088,0.027284051,0.008994152,0.029593211,0,0,0,0,0,0
,,,,,,,,,,,,,,,0.596904435,,,0.025699951,,,,,,,,
