UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.595715131795211,0.00983642223889065,0.598088056898085,0.0245648841372216,0.00938933290490584,0.0268330944683372,0,0,0,0,0,0
2,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.596134710732822,0.00975598825416034,0.596560437970878,0.0249653919226313,0.00931241174681393,0.0253752868056706,0,0,0,0,0,0
3,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.598573769708532,0.0106367849335905,0.600790813143694,0.0272922924867905,0.0101526241866898,0.0294118850473604,0,0,0,0,0,0
4,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.597288366075558,0.00962897001537126,0.598220692097969,0.0260664665158401,0.00919049514032819,0.0269596603861713,0,0,0,0,0,0
5,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.59719855962379,0.00815653512474286,0.598303657148342,0.0259817547290835,0.00778522879399972,0.0270388038486429,0,0,0,0,0,0
6,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.597204195814252,0.0100672041258483,0.60033968565485,0.0259858230486805,0.00960963932851524,0.0289814197827965,0,0,0,0,0,0
7,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.597278389561921,0.00891163991342497,0.597945032891271,0.0260574526501478,0.00850637037342187,0.0266965228169839,0,0,0,0,0,0
8,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.597556759001387,0.00955534199026161,0.597580687399442,0.026322644387492,0.00912016522288276,0.0263489240466167,0,0,0,0,0,0
9,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.596638235358383,0.0100105246852722,0.599345226121235,0.025445763287742,0.00955681548938694,0.0280326756845852,0,0,0,0,0,0
10,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.593712184929632,0.009536347801581,0.594323915015353,0.0226532936255887,0.00910402691504846,0.0232406019800211,0,0,0,0,0,0
11,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.59596120074303,0.0112469574884111,0.599413590546545,0.0247986191600099,0.0107362543218203,0.028097905022354,0,0,0,0,0,0
12,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.597931977663118,0.00925563935956021,0.599921887138055,0.026680925195696,0.00883536952028047,0.0285828161548076,0,0,0,0,0,0
13,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,30,0.598564169307562,0.00942333713047142,0.600980879714641,0.0272840508755123,0.00899415244601287,0.0295932111060574,0,0,0,0,0,0
