fr2pc,UEIdx,lambdaBS,lambdaUE,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_pp_below,std_pp_below,median_pp_below
10,15,25,250,1000,400000000,10,0.1,99,0.202020202,1.148614646,0
20,30,25,250,1000,400000000,10,0.1,99,3.367003367,3.24700977,3.333333333
30,44,25,250,1000,400000000,10,0.1,99,9.733700643,4.208779196,9.090909091
40,59,25,250,1000,400000000,10,0.1,99,17.51412429,5.038414539,16.94915254
50,73,25,250,1000,400000000,10,0.1,99,25.54310226,4.83454333,26.02739726
60,88,25,250,1000,400000000,10,0.1,99,29.00596878,11.79977453,32.95454545
70,103,25,250,1000,400000000,10,0.1,99,5.599686182,2.265586593,5.825242718
80,117,25,250,1000,400000000,10,0.1,99,5.637572304,2.313206686,5.128205128
90,132,25,250,1000,400000000,10,0.1,99,5.218855219,2.038798146,5.303030303
100,146,25,250,1000,400000000,10,0.1,99,5.313408053,1.854177512,4.794520548
,,,,,,,,,,,
10,30,25,500,1000,400000000,10,0.1,99,16.93602694,8.698486428,16.66666667
20,59,25,500,1000,400000000,10,0.1,99,35.67882212,9.356947723,35.59322034
30,88,25,500,1000,400000000,10,0.1,99,44.60514233,5.815549202,44.31818182
40,117,25,500,1000,400000000,10,0.1,99,52.48208582,5.167185984,52.13675214
50,146,25,500,1000,400000000,10,0.1,99,62.52248513,4.406435381,63.01369863
60,175,25,500,1000,400000000,10,0.1,99,68.65223665,9.021427628,71.42857143
70,204,25,500,1000,400000000,10,0.1,99,48.885918,4.851085626,48.52941176
80,233,25,500,1000,400000000,10,0.1,99,48.58455803,3.941646568,48.49785408
90,262,25,500,1000,400000000,10,0.1,99,48.3884648,3.588994054,48.47328244
100,291,25,500,1000,400000000,10,0.1,99,47.72466937,3.104943999,47.76632302
