UEIdx,lambdaBS,lambdaUE,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_pp_below,std_pp_below,median_pp_below
15,25,250,1000,400000000,10,0.1,99,0.202020202020202,1.14861464601053,0
30,25,250,1000,400000000,10,0.1,99,3.36700336700337,3.24700977020925,3.33333333333333
30,25,500,1000,400000000,10,0.1,99,16.9360269360269,8.69848642810096,16.6666666666667
44,25,250,1000,400000000,10,0.1,99,9.73370064279155,4.20877919571801,9.09090909090909
59,25,250,1000,400000000,10,0.1,99,17.5141242937853,5.03841453914887,16.9491525423729
59,25,500,1000,400000000,10,0.1,99,35.6788221195001,9.35694772314157,35.5932203389831
73,25,250,1000,400000000,10,0.1,99,25.543102255431,4.83454332980155,26.027397260274
88,25,250,1000,400000000,10,0.1,99,29.0059687786961,11.7997745304947,32.9545454545455
88,25,500,1000,400000000,10,0.1,99,44.6051423324151,5.81554920170777,44.3181818181818
103,25,250,1000,400000000,10,0.1,99,5.59968618221045,2.26558659266868,5.8252427184466
117,25,250,1000,400000000,10,0.1,99,5.63757230423897,2.31320668593297,5.12820512820513
117,25,500,1000,400000000,10,0.1,99,52.4820858154191,5.16718598364674,52.1367521367521
132,25,250,1000,400000000,10,0.1,99,5.21885521885522,2.03879814587948,5.3030303030303
146,25,250,1000,400000000,10,0.1,99,5.31340805313408,1.8541775116239,4.79452054794521
146,25,500,1000,400000000,10,0.1,99,62.5224851252248,4.40643538122937,63.013698630137
175,25,500,1000,400000000,10,0.1,99,68.6522366522366,9.02142762768455,71.4285714285714
204,25,500,1000,400000000,10,0.1,99,48.8859180035651,4.85108562602484,48.5294117647059
233,25,500,1000,400000000,10,0.1,99,48.5845580266181,3.94164656783329,48.4978540772532
262,25,500,1000,400000000,10,0.1,99,48.3884648006785,3.58899405392693,48.4732824427481
291,25,500,1000,400000000,10,0.1,99,47.7246693741539,3.10494399926469,47.766323024055
NaN,25,250,1000,400000000,10,0.1,99,NaN,NaN,NaN
NaN,25,500,1000,400000000,10,0.1,99,NaN,NaN,NaN
