UEIdx,lambdaBS,lambdaUE,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_mean_rate_before_handoff_affected,mean_mean_rate_after_handoff_affected,mean_mean_rate_after_handoff_affected_wo_algo,mean_mean_rate_before_handoff_not_affected,mean_mean_rate_after_handoff_not_affected,mean_mean_rate_after_handoff_not_affected_wo_algo,mean_rate_after_handoff_fr2,mean_rate_after_handoff_fr2_wo_algo
1,25,250,300,400000000,10,0.1,100,99643253.7896343,35188883.7987703,99585375.9090731,99718754.6861093,99766948.0994147,99689132.4586547,772266925.787857,928851515.291125
1,25,500,300,400000000,10,0.1,100,99230745.3852737,35408698.1917279,99088597.1738075,99351608.5127271,99348319.7871899,99239963.991064,691328148.621603,758990011.550411
1,25,750,300,400000000,10,0.1,100,98714591.1045226,35679548.7666296,98418241.1914229,98858485.6032695,98919329.8720157,98600578.4850952,668715957.161049,697315543.863341
1,25,1000,300,400000000,10,0.1,100,97897357.1859746,36162061.412287,97252894.1796553,98129628.6952688,98375840.2140758,97565897.549417,624573651.561212,605713537.094406
2,25,250,300,400000000,10,0.1,100,99643253.7896343,35188883.7987703,99585375.9090731,99718754.6861093,99766948.0994147,99689132.4586547,735986424.529129,864925800.076022
2,25,500,300,400000000,10,0.1,100,99230745.3852737,35408698.1917279,99088597.1738075,99351608.5127271,99348319.7871899,99239963.991064,702456553.019536,777520035.585477
2,25,750,300,400000000,10,0.1,100,98714591.1045226,35679548.7666296,98418241.1914229,98858485.6032695,98919329.8720157,98600578.4850952,670356206.709613,689356322.782075
2,25,1000,300,400000000,10,0.1,100,97897357.1859746,36162061.412287,97252894.1796553,98129628.6952688,98375840.2140758,97565897.549417,623178998.016233,587329990.757522
3,25,250,300,400000000,10,0.1,90,99644393.5825509,35189698.5431873,99582303.2339818,99723325.8025155,99762580.0357203,99690167.8254,747134894.29284,893217381.409664
3,25,500,300,400000000,10,0.1,100,99230745.3852737,35408698.1917279,99088597.1738075,99351608.5127271,99348319.7871899,99239963.991064,685335241.53924,745919414.331552
3,25,750,300,400000000,10,0.1,100,98714591.1045226,35679548.7666296,98418241.1914229,98858485.6032695,98919329.8720157,98600578.4850952,658728853.460687,681043902.674122
3,25,1000,300,400000000,10,0.1,100,97897357.1859746,36162061.412287,97252894.1796553,98129628.6952688,98375840.2140758,97565897.549417,637112728.192421,606781850.371904
4,25,250,300,400000000,10,0.1,80,99651253.6961606,35185719.1337727,99585647.0256816,99717867.0321776,99749651.154882,99680822.5342466,756113121.384554,916172875.179222
4,25,500,300,400000000,10,0.1,90,99225764.1459702,35411989.0621694,99071710.2638078,99337474.5435314,99307584.8153128,99213391.4625978,677165079.59708,744213770.583248
