UEIdx,lambdaBS,lambdaUE,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_mean_rate_before_handoff_affected,std_mean_rate_before_handoff_affected,median_mean_rate_before_handoff_affected,mean_mean_rate_after_handoff_affected,std_mean_rate_after_handoff_affected,median_mean_rate_after_handoff_affected,mean_mean_rate_before_handoff_not_affected,std_mean_rate_before_handoff_not_affected,median_mean_rate_before_handoff_not_affected,mean_mean_rate_after_handoff_not_affected,std_mean_rate_after_handoff_not_affected,median_mean_rate_after_handoff_not_affected,mean_rate_after_handoff_fr2,std_rate_after_handoff_fr2,median_rate_after_handoff_fr2
1,25,250,300,400000000,1,0.1,45,98066817.5250081,335046.123634812,98076399.8678193,36010409.1025776,231153.425090038,36011675.3364217,98313382.7979548,225120.620646625,98274393.9082737,98749902.7867411,174746.537946491,98776586.2869257,655105451.174599,154897892.494584,621507678.399699
1,25,250,300,400000000,5,0.1,45,98051592.3542566,349782.982848957,98041378.0059706,36046124.6954659,304149.717521308,35980239.8378097,98317826.4502431,218734.949967436,98302070.6682948,98739699.3997882,172074.776742114,98713197.0295217,741328369.405101,156201929.18149,707717814.093911
1,25,250,300,400000000,10,0.1,99,98046095.0344652,318554.067005145,98074036.3973138,36036050.8074927,231621.549354478,36028262.2071728,98349671.03333,238246.169292499,98337988.4355373,98747291.8665719,183147.681326698,98747698.5120668,750885821.40151,157588744.537227,721137091.315622
1,25,250,300,400000000,20,0.1,99,98030404.338752,334540.416267819,98039308.598511,36077005.1065587,311216.337426582,36027868.8016203,98335977.3578049,227832.481179984,98316590.2883099,98721327.6931947,181606.572512218,98731025.4348546,764293688.630013,159618979.374988,727733556.25132
1,25,250,300,400000000,30,0.1,99,98039638.8707654,322346.832986442,98081209.9601828,36052451.7634842,249368.374872407,36047526.7071752,98344916.9955335,238265.023362372,98336080.484725,98718763.5678029,185900.894446491,98721774.6059794,772478568.679207,158122287.605038,738240105.044852
1,25,250,300,400000000,40,0.1,99,98033467.8746738,333842.556120871,98021904.6259309,36066932.4596027,266921.797255129,36060770.9725561,98336696.2262868,239307.840016834,98315877.9965367,98710722.9681217,191838.781854301,98697944.8319359,773687338.82089,159324999.098418,741473676.490935
1,25,250,300,400000000,50,0.1,99,98033522.5087656,330581.081099338,98057951.1071585,36054829.3186772,307846.636568799,36004760.1128494,98333511.6777074,241918.955125478,98334928.7673894,98705609.1099369,191616.543171511,98689600.7064591,774915396.177883,159266313.702001,734413513.590988
1,25,250,300,400000000,60,0.1,99,98042612.111362,331123.321064958,98054070.9612916,36059177.4754373,278472.347249182,36004258.1523067,98335223.2895698,238555.547096893,98318557.5133165,98697757.7653554,186745.522925705,98702022.0498252,773872288.100615,159025930.827061,735159668.303685
1,25,250,300,400000000,70,0.1,99,98041630.7092779,333635.592498724,98038185.956444,36044417.3704646,267016.405729051,36058356.0753116,98339347.4209289,237862.741627041,98326523.417487,98696740.4494543,190746.97275933,98693713.4565873,774674988.372322,159174365.768989,733337305.236722
1,25,250,300,400000000,80,0.1,99,98039799.1434965,334461.831464029,98101063.7289404,36062439.9768774,283681.138435023,36050912.3687936,98340380.8238291,233365.612594624,98319042.0963858,98690659.1645584,183700.57188261,98683667.6710878,775953350.818494,158073588.614513,734699222.766328
1,25,250,300,400000000,90,0.1,99,98031768.5771525,331320.905295086,98036663.7100537,36067307.9119854,289458.003175932,36012518.6848086,98335063.5852227,244276.728292845,98327335.6252436,98689387.0616905,195449.65971652,98698065.1701278,774796922.865846,159367138.605657,743538821.54744
1,25,250,300,400000000,100,0.1,99,98037863.1979475,324615.564077801,98056876.4588822,36058470.4154889,269559.251573062,36075683.6897181,98335370.2030842,237337.918327963,98323978.1861437,98683725.4228627,190523.73796939,98697245.8542953,775409261.513853,158627039.941099,736755272.529136
