lambdaBS,lambdaUE,loss_thresh,GroupCount,mean_mean_rate,std_mean_rate,mean_thresholdRate,std_thresholdRate
25,250,0,99,282796449.38323,19647492.4441795,136215844.257918,13481411.649784
25,250,10,99,282796449.38323,19647492.4441795,178270151.841573,21143277.0236218
25,250,20,99,282796449.38323,19647492.4441795,203676929.739064,26790997.1877214
25,250,30,99,282796449.38323,19647492.4441795,227962754.746208,30693206.4437963
25,250,40,99,282796449.38323,19647492.4441795,254431567.752361,31805606.0307651
25,250,50,99,282796449.38323,19647492.4441795,282105767.232565,30070773.8303014
25,250,60,99,282796449.38323,19647492.4441795,312105188.989238,25809471.7162857
25,250,70,99,282796449.38323,19647492.4441795,340831255.219209,19377450.6831553
25,250,80,99,282796449.38323,19647492.4441795,367719236.126464,11637258.4818093
25,250,90,99,282796449.38323,19647492.4441795,388075996.080014,5786920.16393212
25,250,100,99,282796449.38323,19647492.4441795,399707229.918974,501189.195056792
25,500,0,99,198528297.243995,26750238.5584509,85295542.5051182,11639170.9989327
25,500,10,99,198528297.243995,26750238.5584509,109242789.793934,16046845.7324293
25,500,20,99,198528297.243995,26750238.5584509,119986663.145145,19460945.5456389
25,500,30,99,198528297.243995,26750238.5584509,131457313.085878,24423195.4457024
25,500,40,99,198528297.243995,26750238.5584509,145385791.750932,29617648.9359565
25,500,50,99,198528297.243995,26750238.5584509,163721341.717902,35841342.2804681
25,500,60,99,198528297.243995,26750238.5584509,190299629.254707,41578363.5102676
25,500,70,99,198528297.243995,26750238.5584509,231117448.098644,45925062.8085029
25,500,80,99,198528297.243995,26750238.5584509,289575045.920331,40477740.0340458
25,500,90,99,198528297.243995,26750238.5584509,357615840.025579,20347930.7260606
25,500,100,99,198528297.243995,26750238.5584509,399689967.640735,338116.571223762
25,750,0,99,148330444.562089,25518301.6028454,60702552.1251589,10598356.6834251
25,750,10,99,148330444.562089,25518301.6028454,79273960.5845798,12947693.7926578
25,750,20,99,148330444.562089,25518301.6028454,86274465.8832788,15143023.7026008
25,750,30,99,148330444.562089,25518301.6028454,92762027.9316525,17449401.7800316
25,750,40,99,148330444.562089,25518301.6028454,100048906.21649,20465100.6453953
25,750,50,99,148330444.562089,25518301.6028454,109682426.898873,24949825.1195399
25,750,60,99,148330444.562089,25518301.6028454,124825045.083264,31634200.745844
25,750,70,99,148330444.562089,25518301.6028454,150739416.103751,41521624.9294115
25,750,80,99,148330444.562089,25518301.6028454,202665308.41894,50446684.5716754
25,750,90,99,148330444.562089,25518301.6028454,303934143.530766,43185091.6872271
25,750,100,99,148330444.562089,25518301.6028454,399494423.433263,506542.28880665
25,1000,0,99,115968697.804796,22014550.5141804,45844032.4919345,8795002.36766588
25,1000,10,99,115968697.804796,22014550.5141804,61162266.9936768,10357934.9554811
25,1000,20,99,115968697.804796,22014550.5141804,66281520.9710907,11583200.9599827
25,1000,30,99,115968697.804796,22014550.5141804,70910514.9006745,13275495.9437381
25,1000,40,99,115968697.804796,22014550.5141804,75680379.4318124,15331360.1067816
25,1000,50,99,115968697.804796,22014550.5141804,81148464.7016658,17674598.6311838
25,1000,60,99,115968697.804796,22014550.5141804,89588595.7873436,22199859.3134112
25,1000,70,99,115968697.804796,22014550.5141804,104350569.333924,29732414.7367915
25,1000,80,99,115968697.804796,22014550.5141804,141286286.832625,43939127.3266499
25,1000,90,99,115968697.804796,22014550.5141804,245229172.467175,55996251.9369508
25,1000,100,99,115968697.804796,22014550.5141804,399406706.905112,609671.672944908
25,1500,0,99,79639073.6341891,16790012.3242902,29283413.1263736,6233092.83526069
25,1500,10,99,79639073.6341891,16790012.3242902,42188828.9654149,7622507.07186902
25,1500,20,99,79639073.6341891,16790012.3242902,45961574.1834085,8309186.43939481
25,1500,30,99,79639073.6341891,16790012.3242902,48914805.4118005,9066114.07569166
25,1500,40,99,79639073.6341891,16790012.3242902,51773583.445447,10086175.492997
25,1500,50,99,79639073.6341891,16790012.3242902,54996399.3433827,11512287.6222822
25,1500,60,99,79639073.6341891,16790012.3242902,58976226.913604,13497870.3948315
25,1500,70,99,79639073.6341891,16790012.3242902,65312654.5589535,17494951.0059663
25,1500,80,99,79639073.6341891,16790012.3242902,79808805.4356221,26809994.6270053
25,1500,90,99,79639073.6341891,16790012.3242902,144984717.560917,52887936.652515
25,1500,100,99,79639073.6341891,16790012.3242902,399329231.298006,810920.070621169
25,2000,0,99,60248678.2981836,13353613.7462812,21566870.0949644,5601669.85168013
25,2000,10,99,60248678.2981836,13353613.7462812,32211631.2504615,6607616.61656439
25,2000,20,99,60248678.2981836,13353613.7462812,35241537.3497427,7038017.21202228
25,2000,30,99,60248678.2981836,13353613.7462812,37538439.2728318,7567568.38961369
25,2000,40,99,60248678.2981836,13353613.7462812,39690495.9283614,8235957.39416455
25,2000,50,99,60248678.2981836,13353613.7462812,41902693.2809053,9073743.39288642
25,2000,60,99,60248678.2981836,13353613.7462812,44568861.7064702,10228362.5049778
25,2000,70,99,60248678.2981836,13353613.7462812,48064174.5567943,12003215.4960235
25,2000,80,99,60248678.2981836,13353613.7462812,54933750.9370575,16874567.516427
25,2000,90,99,60248678.2981836,13353613.7462812,90050076.4325731,38742254.1353007
25,2000,100,99,60248678.2981836,13353613.7462812,399202483.41323,959399.086433548
