UE idx,lambdaBS,lambdaUE_sub6,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,minRatereq_sub6,outageDuration_wo_CF_Analysis,outageDurationAnalysis,outageProbability_wo_CF_Analysis,outageProbabilityAnalysis,meanOutageDuration_wo_CF,outageProbability_wo_CF,meanOutageDuration,outageProbability
1,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6494379288469219,0.0000000000000000,0.0471770928241460,0.0000000000000000,0.6099685430090895,0.0508307119174241,0.0893736591991646,0.0074478049332637
2,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6396859790324718,0.0000000000000000,0.0378865205760528,0.0000000000000000,0.5382357991296768,0.0448529832608064,0.0100000089999993,0.0008333340833333
3,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6739081021757125,0.0000000000000000,0.0704540797789993,0.0000000000000000,0.6048384654784278,0.0856854492761106,0.0058823623529386,0.0008333346666663
4,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6228204379675051,0.6228204379675051,0.0218006937219157,0.0218006937219157,0.5348315510525533,0.0267415775526277,0.0166666749999958,0.0008333337499998
5,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6151955186479797,0.6151955186479797,0.0145209182091017,0.0145209182091017,0.6886521719379761,0.0401713766963819,0.1058079015836300,0.0061721275923784
6,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6207186015067441,0.6207186015067441,0.0197944481194657,0.0197944481194657,0.1928231999730313,0.0064274399991010,0.0250000074999971,0.0008333335833332
7,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6408936124778446,0.6408936124778446,0.0390374443250827,0.0390374443250827,0.8163024692640320,0.0272100823088011,0.0250000074999971,0.0008333335833332
8,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6676818939152726,0.6676818939152726,0.0645363926917889,0.0645363926917889,0.6011029185438488,0.1001838197573081,0.0100000094999966,0.0016666682499994
9,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6520144854912914,0.6520144854912914,0.0496304284884869,0.0496304284884869,0.4438428384544662,0.0295895225636311,0.0125000087499990,0.0008333339166666
10,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6031115452564020,0.0000000000000000,0.0029748139341173,0.0000000000000000,0.5474569819830530,0.0136864245495763,0.0333333399999982,0.0008333335000000
11,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6352589360118662,0.6352589360118662,0.0336663532550658,0.0336663532550658,0.5117247447566731,0.0213218643648614,0.0200000079999978,0.0008333336666666
12,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6725388907297332,0.6725388907297332,0.0691530096041227,0.0691530096041227,0.7258284045735596,0.0423399902667910,0.0142857228571414,0.0008333338333332
13,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6457297296557779,0.6457297296557779,0.0436452603096052,0.0436452603096051,0.4990692818822541,0.0415891068235212,0.0443125621647367,0.0036927135137281
14,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6491863944915454,0.6491863944915454,0.0469375580097200,0.0469375580097200,0.4821229815751902,0.0321415321050127,0.0125000087499972,0.0008333339166665
15,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6697767022634494,0.6697767022634494,0.0665277808761195,0.0665277808761194,0.7461871560179364,0.1181462997028399,0.2605339371789232,0.0412512067199962
16,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6134985441333416,0.6134985441333416,0.0129001470825902,0.0129001470825902,0.1000000000000000,0.0008333333333333,0.1000000000000000,0.0008333333333333
17,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6588360845445664,0.6588360845445664,0.0561230833837694,0.0561230833837694,0.4808828679445145,0.0681250729588062,0.0157147532614388,0.0022262567120372
18,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6377483198298449,0.6377483198298449,0.0360396040146581,0.0360396040146581,0.3391421013000284,0.0169571050650014,0.0166666749999983,0.0008333337499999
19,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6612235150057119,0.0000000000000000,0.0583944514286060,0.0000000000000000,0.8499540627768147,0.0637465547082611,0.0222222311111064,0.0016666673333330
20,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6612979258661006,0.6612979258661006,0.0584652370049233,0.0584652370049232,0.5008081855177472,0.0375606139138310,0.0111111199999983,0.0008333339999999
21,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6415907316117595,0.6415907316117595,0.0397017728518108,0.0397017728518108,0.5486931814522696,0.0685866476815337,0.0066666759999965,0.0008333344999996
22,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6573517683501603,0.6573517683501603,0.0547106793187589,0.0547106793187589,0.6589058178032141,0.0439270545202143,0.1229337049878521,0.0081955803325235
23,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6578580072126582,0.6578580072126582,0.0551924130919258,0.0551924130919258,0.6280940089266073,0.0680435176337158,0.0304980447778109,0.0033039548509295
24,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6748912643104504,0.6748912643104504,0.0713882101775737,0.0713882101775737,0.4765692513980934,0.0595711564247617,0.0066666759999984,0.0008333344999998
25,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6667020333501193,0.6667020333501193,0.0636047754961021,0.0636047754961021,0.6693671503193204,0.0948270129619037,0.1991807670173248,0.0282172753274543
26,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6237208832200756,0.6237208832200756,0.0226600813063485,0.0226600813063484,1.0614360411378405,0.0265359010284460,0.0333333400000006,0.0008333335000000
27,25,10,400.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,10000000.000000,0.6733642458359502,0.6733642458359502,0.0699373093745972,0.0699373093745972,0.4114142085429881,0.0411414208542988,0.0689940030059784,0.0068994003005978
